game_pk,date,status,home_team,away_team,home_team_code,away_team_code,home_team_id,away_team_id,venue,doubleheader,day_night,home_pitcher_id,away_pitcher_id,home_runs,away_runs,innings,home_hits,away_hits,home_errors,away_errors,total_runs,run_difference,result
663809,2022-02-27,SCHEDULED,Toronto Blue Jays,Philadelphia Phillies,,PHI,141,143,TD Ballpark,False,day,,,,,[],,,,,0.0,0.0,SCHEDULED
663808,2022-03-01,SCHEDULED,Toronto Blue Jays,Detroit Tigers,,DET,141,116,TD Ballpark,False,day,,,,,[],,,,,0.0,0.0,SCHEDULED
663784,2022-03-03,SCHEDULED,Toronto Blue Jays,New York Yankees,,NYY,141,147,TD Ballpark,False,day,,,,,[],,,,,0.0,0.0,SCHEDULED
663779,2022-03-04,SCHEDULED,Toronto Blue Jays,Pittsburgh Pirates,,PIT,141,134,TD Ballpark,False,day,,,,,[],,,,,0.0,0.0,SCHEDULED
663778,2022-03-06,SCHEDULED,Toronto Blue Jays,Boston Red Sox,,,141,111,TD Ballpark,False,day,,,,,[],,,,,0.0,0.0,SCHEDULED
663802,2022-03-09,SCHEDULED,Toronto Blue Jays,Detroit Tigers,,DET,141,116,TD Ballpark,False,day,,,,,[],,,,,0.0,0.0,SCHEDULED
663799,2022-03-11,SCHEDULED,Toronto Blue Jays,Philadelphia Phillies,,PHI,141,143,TD Ballpark,False,day,,,,,[],,,,,0.0,0.0,SCHEDULED
663777,2022-03-13,SCHEDULED,Toronto Blue Jays,Minnesota Twins,,MIN,141,142,TD Ballpark,False,day,,,,,[],,,,,0.0,0.0,SCHEDULED
663791,2022-03-15,SCHEDULED,Toronto Blue Jays,Tampa Bay Rays,,TB,141,139,TD Ballpark,False,day,,,,,[],,,,,0.0,0.0,SCHEDULED
707019,2022-03-17,FINISHED,Boston Red Sox,Minnesota Twins,,MIN,111,142,JetBlue Park,False,day,593140.0,663485.0,14.0,1.0,[],,,,,15.0,13.0,LOCAL
707077,2022-03-17,FINISHED,Chicago White Sox,Chicago Cubs,,CHC,145,112,Camelback Ranch,False,day,605138.0,592411.0,5.0,2.0,[],,,,,7.0,3.0,LOCAL
707078,2022-03-17,FINISHED,Chicago Cubs,Chicago White Sox,CHC,,112,145,Sloan Park,False,day,543294.0,665417.0,3.0,4.0,[],,,,,7.0,-1.0,VISITANTE
706975,2022-03-17,FINISHED,Colorado Rockies,Arizona Diamondbacks,COL,AZ,115,109,Salt River Fields at Talking Stick,False,day,621389.0,674072.0,5.0,3.0,[],,,,,8.0,2.0,LOCAL
706825,2022-03-18,FINISHED,St. Louis Cardinals,Houston Astros,STL,HOU,138,117,Roger Dean Chevrolet Stadium,False,day,425794.0,434378.0,4.0,2.0,[],,,,,6.0,2.0,LOCAL
707020,2022-03-18,FINISHED,Boston Red Sox,Tampa Bay Rays,,TB,111,139,JetBlue Park,False,day,543135.0,607391.0,7.0,6.0,[],,,,,13.0,1.0,LOCAL
707027,2022-03-18,FINISHED,Baltimore Orioles,Toronto Blue Jays,BAL,,110,141,Ed Smith Stadium,False,day,657093.0,621244.0,5.0,9.0,[],,,,,14.0,-4.0,VISITANTE
706967,2022-03-18,SCHEDULED,Detroit Tigers,Philadelphia Phillies,DET,PHI,116,143,Publix Field at Joker Marchant Stadium,False,day,593958.0,547184.0,,,[],,,,,0.0,0.0,SCHEDULED
707037,2022-03-18,FINISHED,Atlanta Braves,Minnesota Twins,ATL,MIN,144,142,CoolToday Park,False,day,693821.0,656970.0,3.0,1.0,[],,,,,4.0,2.0,LOCAL
706863,2022-03-18,FINISHED,Pittsburgh Pirates,New York Yankees,PIT,NYY,134,147,LECOM Park,False,day,640444.0,669713.0,4.0,3.0,[],,,,,7.0,1.0,LOCAL
706984,2022-03-18,FINISHED,Cleveland Guardians,Cincinnati Reds,CLE,CIN,114,113,Goodyear Ballpark,False,day,668684.0,666157.0,3.0,2.0,[],,,,,5.0,1.0,LOCAL
706882,2022-03-18,FINISHED,Oakland Athletics,Los Angeles Angels,OAK,LAA,133,108,Hohokam Stadium,False,day,641703.0,547179.0,10.0,8.0,[],,,,,18.0,2.0,LOCAL
706813,2022-03-18,FINISHED,Texas Rangers,Kansas City Royals,TEX,KC,140,118,Surprise Stadium,False,day,656641.0,669169.0,5.0,5.0,[],,,,,10.0,0.0,VISITANTE
706934,2022-03-18,FINISHED,Los Angeles Dodgers,Milwaukee Brewers,LAD,MIL,119,158,Camelback Ranch,False,day,477132.0,663629.0,3.0,3.0,[],,,,,6.0,0.0,VISITANTE
707051,2022-03-18,FINISHED,Arizona Diamondbacks,Colorado Rockies,AZ,COL,109,115,Salt River Fields at Talking Stick,False,day,669459.0,594943.0,3.0,5.0,[],,,,,8.0,-2.0,VISITANTE
706855,2022-03-18,FINISHED,San Diego Padres,Seattle Mariners,SD,SEA,135,136,Peoria Stadium,False,day,669022.0,594835.0,6.0,4.0,[],,,,,10.0,2.0,LOCAL
706791,2022-03-18,FINISHED,Washington Nationals,Miami Marlins,WSH,MIA,120,146,The Ballpark of the Palm Beaches,False,night,642028.0,645261.0,3.0,8.0,[],,,,,11.0,-5.0,VISITANTE
706846,2022-03-18,FINISHED,San Francisco Giants,Chicago Cubs,SF,CHC,137,112,Scottsdale Stadium,False,night,657277.0,573186.0,3.0,7.0,[],,,,,10.0,-4.0,VISITANTE
706859,2022-03-19,FINISHED,Pittsburgh Pirates,Detroit Tigers,PIT,DET,134,116,LECOM Park,False,day,656605.0,663554.0,6.0,3.0,[],,,,,9.0,3.0,LOCAL
706907,2022-03-19,FINISHED,Minnesota Twins,Boston Red Sox,MIN,,142,111,Hammond Stadium,False,day,641927.0,601713.0,0.0,1.0,[],,,,,1.0,-1.0,VISITANTE
706872,2022-03-19,FINISHED,Philadelphia Phillies,Toronto Blue Jays,PHI,,143,141,BayCare Ballpark,False,day,605400.0,680430.0,3.0,2.0,[],,,,,5.0,1.0,LOCAL
706820,2022-03-19,FINISHED,Tampa Bay Rays,Atlanta Braves,TB,ATL,139,144,Charlotte Sports Park,False,day,676637.0,623451.0,4.0,4.0,[],,,,,8.0,0.0,VISITANTE
706922,2022-03-19,FINISHED,Miami Marlins,Houston Astros,MIA,HOU,146,117,Roger Dean Chevrolet Stadium,False,day,641154.0,684544.0,10.0,2.0,[],,,,,12.0,8.0,LOCAL
707028,2022-03-19,FINISHED,Baltimore Orioles,New York Yankees,BAL,NYY,110,147,Ed Smith Stadium,False,day,670057.0,686610.0,3.0,3.0,[],,,,,6.0,0.0,VISITANTE
707009,2022-03-19,FINISHED,Chicago Cubs,San Diego Padres,CHC,SD,112,135,Sloan Park,False,day,657006.0,663753.0,5.0,4.0,[],,,,,9.0,1.0,LOCAL
707003,2022-03-19,FINISHED,Chicago White Sox,Cleveland Guardians,,CLE,145,114,Camelback Ranch,False,day,605232.0,681792.0,2.0,11.0,[],,,,,13.0,-9.0,VISITANTE
706806,2022-03-19,FINISHED,Texas Rangers,Milwaukee Brewers,TEX,MIL,140,158,Surprise Stadium,False,day,641540.0,606131.0,0.0,11.0,[],,,,,11.0,-11.0,VISITANTE
706942,2022-03-19,FINISHED,Los Angeles Angels,Arizona Diamondbacks,LAA,AZ,108,109,Tempe Diablo Stadium,False,day,594965.0,573185.0,12.0,5.0,[],,,,,17.0,7.0,LOCAL
706836,2022-03-19,FINISHED,Seattle Mariners,Los Angeles Dodgers,SEA,LAD,136,119,Peoria Stadium,False,day,686651.0,686752.0,7.0,6.0,[],,,,,13.0,1.0,LOCAL
706978,2022-03-19,FINISHED,Colorado Rockies,San Francisco Giants,COL,SF,115,137,Salt River Fields at Talking Stick,False,day,668757.0,595881.0,5.0,8.0,[],,,,,13.0,-3.0,VISITANTE
706792,2022-03-19,FINISHED,Washington Nationals,New York Mets,WSH,NYM,120,121,The Ballpark of the Palm Beaches,False,night,680686.0,677020.0,2.0,6.0,[],,,,,8.0,-4.0,VISITANTE
706993,2022-03-19,FINISHED,Cincinnati Reds,Oakland Athletics,CIN,OAK,113,133,Goodyear Ballpark,False,night,641816.0,640455.0,9.0,3.0,[],,,,,12.0,6.0,LOCAL
707021,2022-03-20,FINISHED,Boston Red Sox,Baltimore Orioles,,BAL,111,110,JetBlue Park,False,day,656557.0,660593.0,3.0,2.0,[],,,,,5.0,1.0,LOCAL
