game_pk,date,status,home_team,away_team,home_team_code,away_team_code,home_team_id,away_team_id,venue,doubleheader,day_night,home_pitcher_id,away_pitcher_id,home_runs,away_runs,innings,home_hits,away_hits,home_errors,away_errors,total_runs,run_difference,result
719496,2023-02-24,FINISHED,Boston Red Sox,Northeastern Huskies,,,111,343,JetBlue Park,False,day,665996.0,,5.0,3.0,[],,,,,8.0,2.0,LOCAL
718938,2023-02-24,FINISHED,Kansas City Royals,Texas Rangers,KC,TEX,118,140,Surprise Stadium,False,day,663738.0,657248.0,6.0,5.0,[],,,,,11.0,1.0,LOCAL
719395,2023-02-24,FINISHED,San Diego Padres,Seattle Mariners,SD,SEA,135,136,Peoria Stadium,False,day,607259.0,592662.0,2.0,3.0,[],,,,,5.0,-1.0,VISITANTE
719391,2023-02-25,FINISHED,Houston Astros,New York Mets,HOU,NYM,117,121,The Ballpark of the Palm Beaches,False,day,656232.0,660593.0,4.0,2.0,[],,,,,6.0,2.0,LOCAL
719389,2023-02-25,FINISHED,St. Louis Cardinals,Washington Nationals,STL,WSH,138,120,Roger Dean Chevrolet Stadium,False,day,425794.0,669022.0,2.0,3.0,[],,,,,5.0,-1.0,VISITANTE
719388,2023-02-25,FINISHED,Pittsburgh Pirates,Toronto Blue Jays,PIT,,134,141,LECOM Park,False,day,656605.0,579328.0,7.0,9.0,[],,,,,16.0,-2.0,VISITANTE
719393,2023-02-25,FINISHED,Baltimore Orioles,Minnesota Twins,BAL,MIN,110,142,Ed Smith Stadium,False,day,680723.0,686973.0,10.0,5.0,[],,,,,15.0,5.0,LOCAL
719394,2023-02-25,FINISHED,Minnesota Twins,Tampa Bay Rays,MIN,TB,142,139,Hammond Stadium,False,day,628317.0,681867.0,8.0,4.0,[],,,,,12.0,4.0,LOCAL
719392,2023-02-25,FINISHED,Detroit Tigers,Philadelphia Phillies,DET,PHI,116,143,Publix Field at Joker Marchant Stadium,False,day,682051.0,674681.0,4.0,2.0,[],,,,,6.0,2.0,LOCAL
719396,2023-02-25,FINISHED,Atlanta Braves,Boston Red Sox,ATL,,144,111,CoolToday Park,False,day,663465.0,571616.0,6.0,6.0,[],,,,,12.0,0.0,VISITANTE
719386,2023-02-25,FINISHED,Philadelphia Phillies,New York Yankees,PHI,NYY,143,147,BayCare Ballpark,False,day,656793.0,543901.0,7.0,4.0,[],,,,,11.0,3.0,LOCAL
719381,2023-02-25,FINISHED,Cincinnati Reds,Cleveland Guardians,CIN,CLE,113,114,Goodyear Ballpark,False,day,682227.0,615698.0,4.0,3.0,[],,,,,7.0,1.0,LOCAL
719383,2023-02-25,FINISHED,Oakland Athletics,Arizona Diamondbacks,OAK,AZ,133,109,Hohokam Stadium,False,day,676664.0,686753.0,12.0,7.0,[],,,,,19.0,5.0,LOCAL
719385,2023-02-25,FINISHED,Chicago Cubs,San Francisco Giants,CHC,SF,112,137,Sloan Park,False,day,573186.0,663941.0,10.0,8.0,[],,,,,18.0,2.0,LOCAL
719375,2023-02-25,FINISHED,Texas Rangers,Kansas City Royals,TEX,KC,140,118,Surprise Stadium,False,day,543135.0,594577.0,5.0,10.0,[],,,,,15.0,-5.0,VISITANTE
719380,2023-02-25,FINISHED,Chicago White Sox,San Diego Padres,,SD,145,135,Camelback Ranch,False,day,458681.0,607625.0,2.0,6.0,[],,,,,8.0,-4.0,VISITANTE
719390,2023-02-25,FINISHED,Arizona Diamondbacks,Colorado Rockies,AZ,COL,109,115,Salt River Fields at Talking Stick,False,day,669194.0,663562.0,5.0,12.0,[],,,,,17.0,-7.0,VISITANTE
719384,2023-02-25,FINISHED,Seattle Mariners,Los Angeles Angels,SEA,LAA,136,108,Peoria Stadium,False,day,594835.0,656353.0,1.0,5.0,[],,,,,6.0,-4.0,VISITANTE
719382,2023-02-25,FINISHED,Milwaukee Brewers,Los Angeles Dodgers,MIL,LAD,158,119,American Family Fields of Phoenix,False,day,476594.0,675627.0,7.0,4.0,[],,,,,11.0,3.0,LOCAL
719387,2023-02-25,FINISHED,New York Mets,Miami Marlins,NYM,MIA,121,146,Clover Park,False,night,676130.0,666129.0,5.0,2.0,[],,,,,7.0,3.0,LOCAL
719377,2023-02-26,FINISHED,Detroit Tigers,Baltimore Orioles,DET,BAL,116,110,Publix Field at Joker Marchant Stadium,False,day,593958.0,665152.0,6.0,10.0,[],,,,,16.0,-4.0,VISITANTE
719371,2023-02-26,FINISHED,Washington Nationals,Houston Astros,WSH,HOU,120,117,The Ballpark of the Palm Beaches,False,day,592866.0,664353.0,3.0,2.0,[],,,,,5.0,1.0,LOCAL
719378,2023-02-26,FINISHED,Boston Red Sox,Tampa Bay Rays,,TB,111,139,JetBlue Park,False,day,670174.0,671737.0,7.0,6.0,[],,,,,13.0,1.0,LOCAL
719373,2023-02-26,FINISHED,Philadelphia Phillies,Minnesota Twins,PHI,MIN,143,142,BayCare Ballpark,False,day,571479.0,657746.0,10.0,8.0,[],,,,,18.0,2.0,LOCAL
719374,2023-02-26,FINISHED,New York Yankees,Atlanta Braves,NYY,ATL,147,144,George M. Steinbrenner Field,False,day,657376.0,693821.0,7.0,0.0,[],,,,,7.0,7.0,LOCAL
719372,2023-02-26,FINISHED,Toronto Blue Jays,New York Yankees,,NYY,141,147,TD Ballpark,False,day,641835.0,666745.0,5.0,9.0,[],,,,,14.0,-4.0,VISITANTE
719379,2023-02-26,FINISHED,New York Mets,Washington Nationals,NYM,WSH,121,120,Clover Park,False,day,453286.0,680686.0,6.0,3.0,[],,,,,9.0,3.0,LOCAL
719376,2023-02-26,FINISHED,Miami Marlins,St. Louis Cardinals,MIA,STL,146,138,Roger Dean Chevrolet Stadium,False,day,456501.0,571945.0,2.0,8.0,[],,,,,10.0,-6.0,VISITANTE
719366,2023-02-26,FINISHED,Los Angeles Dodgers,Chicago Cubs,LAD,CHC,119,112,Camelback Ranch,False,day,572362.0,665871.0,9.0,4.0,[],,,,,13.0,5.0,LOCAL
719368,2023-02-26,FINISHED,Kansas City Royals,Seattle Mariners,KC,SEA,118,136,Surprise Stadium,False,day,641745.0,668834.0,8.0,7.0,[],,,,,15.0,1.0,LOCAL
719358,2023-02-26,FINISHED,San Francisco Giants,Cincinnati Reds,SF,CIN,137,113,Scottsdale Stadium,False,day,640455.0,596133.0,7.0,6.0,[],,,,,13.0,1.0,LOCAL
719370,2023-02-26,FINISHED,Cleveland Guardians,Texas Rangers,CLE,TEX,114,140,Goodyear Ballpark,False,day,668676.0,592351.0,4.0,13.0,[],,,,,17.0,-9.0,VISITANTE
719363,2023-02-26,FINISHED,San Diego Padres,Arizona Diamondbacks,SD,AZ,135,109,Peoria Stadium,False,day,527054.0,674072.0,18.0,6.0,[],,,,,24.0,12.0,LOCAL
719367,2023-02-26,FINISHED,Los Angeles Angels,Chicago White Sox,LAA,,108,145,Tempe Diablo Stadium,False,day,672282.0,621383.0,7.0,0.0,[],,,,,7.0,7.0,LOCAL
719365,2023-02-26,FINISHED,Colorado Rockies,Milwaukee Brewers,COL,MIL,115,158,Salt River Fields at Talking Stick,False,day,607536.0,688107.0,12.0,6.0,[],,,,,18.0,6.0,LOCAL
719364,2023-02-26,FINISHED,Milwaukee Brewers,Oakland Athletics,MIL,OAK,158,133,American Family Fields of Phoenix,False,day,676083.0,666205.0,4.0,11.0,[],,,,,15.0,-7.0,VISITANTE
719351,2023-02-27,FINISHED,St. Louis Cardinals,New York Mets,STL,NYM,138,121,Roger Dean Chevrolet Stadium,False,day,671162.0,656849.0,12.0,7.0,[],,,,,19.0,5.0,LOCAL
719360,2023-02-27,FINISHED,Baltimore Orioles,Tampa Bay Rays,BAL,TB,110,139,Ed Smith Stadium,False,day,669145.0,660730.0,2.0,14.0,[],,,,,16.0,-12.0,VISITANTE
719357,2023-02-27,FINISHED,Boston Red Sox,Minnesota Twins,,MIN,111,142,JetBlue Park,False,day,676710.0,641154.0,4.0,1.0,[],,,,,5.0,3.0,LOCAL
719356,2023-02-27,FINISHED,Pittsburgh Pirates,Philadelphia Phillies,PIT,PHI,134,143,LECOM Park,False,day,664141.0,605400.0,7.0,9.0,[],,,,,16.0,-2.0,VISITANTE
719359,2023-02-27,FINISHED,Atlanta Braves,Toronto Blue Jays,ATL,,144,141,CoolToday Park,False,day,608331.0,571800.0,7.0,0.0,[],,,,,7.0,7.0,LOCAL
