team,SO,BB,HR,H,R,ER,IP,G,GS,BABIP,ERA,WHIP,K_per_9,runs_allowed_per_game,HR_per_9,BB_per_9,bullpen_era,bullpen_whip
Arizona,1081,421,168,1214,672,622,1218.2,555,140,0.29715625,4.595304547693318,1.342144147102282,7.9863733377113775,1.2108108108108109,1.2411755048432114,3.1103267115416187,4.846777827850383,1.4218116268589454
Athletics,1092,496,186,1182,697,639,1207.0,561,140,0.3252068965517242,4.764705882352941,1.3902236951118476,8.142502071251036,1.2424242424242424,1.3869096934548466,3.6984258492129247,4.935132330046705,1.4772530704030444
Atlanta,1165,401,159,1062,545,520,1151.2,502,138,0.3098846153846154,4.065323141070188,1.2708478109798471,9.107887421820708,1.0856573705179282,1.2430507296733844,3.13498957609451,4.01580826109128,1.2468128505864355
Baltimore,983,384,169,1111,615,577,1085.0,457,142,0.34148275862068966,4.7861751152073735,1.3778801843317972,8.153917050691245,1.3457330415754925,1.4018433179723502,3.185253456221198,5.343667739105002,1.55893536121673
Boston,1177,421,124,1066,527,468,1211.8,604,131,0.3222222222222222,3.4758210925895363,1.2271001815481104,8.741541508499752,0.8725165562913907,0.920944050173296,3.126753589701271,3.3056872037914693,1.2322274881516588
Chicago,2302,915,355,2358,1247,1150,2565.7999999999997,1273,295,0.2931730769230769,4.033829604801622,1.2756255358952375,8.07467456543768,0.9795758051846033,1.2452256606126746,3.2095252942552035,4.096728307254623,1.355144618302513
Cincinnati,1315,465,178,1199,645,586,1350.2,665,153,0.29492,3.906087986964894,1.2324100133313582,8.765368093615761,0.9699248120300752,1.186490890238483,3.099540808769071,3.9781962338949457,1.3062438057482657
Cleveland,1393,533,167,1295,646,589,1442.0,688,165,0.305,3.676144244105409,1.2676837725381416,8.694174757281553,0.938953488372093,1.0423023578363384,3.326629680998613,3.360935216755967,1.2339665530118527
Colorado,970,496,234,1546,939,860,1274.9,576,162,0.3243333333333333,6.071064397207624,1.6016942505294531,6.847595889873715,1.6302083333333333,1.651894266216958,3.5014510942034667,5.189053687069146,1.5082515145184876
Detroit,1272,422,163,1162,583,529,1306.8,591,152,0.2875384615384615,3.6432506887052343,1.2121212121212122,8.760330578512397,0.9864636209813875,1.1225895316804408,2.90633608815427,3.801667875271936,1.2581580855692531
Houston,1251,409,153,987,514,480,1179.2,546,135,0.2602962962962963,3.6635006784260513,1.183853459972863,9.547998643147897,0.9413919413919414,1.1677408412483037,3.121607869742198,3.2114183764495983,1.119536128456735
Kansas City,1165,430,160,1181,562,529,1315.1,668,147,0.2574736842105263,3.6202570146756905,1.2250019009961222,7.97277773553342,0.8413173652694611,1.094973766253517,2.9427419968063266,3.3652762119503943,1.2119503945885004
Los Angeles,2695,1125,371,2523,1409,1305,2751.2,1357,320,0.3077213114754099,4.269046234370457,1.3259668508287294,8.816152951439372,1.0383198231392778,1.2136522244838617,3.6802122710090144,4.48544198653493,1.3569992130803532
Miami,1159,448,168,1184,679,623,1268.6,605,134,0.2868,4.419832886646698,1.2864575122181934,8.222449944821063,1.122314049586777,1.1918650480845026,3.178306794892007,4.198383294038397,1.3253620747726509
Milwaukee,1380,500,155,1141,552,502,1361.3999999999999,661,158,0.28858333333333336,3.3186425738210668,1.2053768179814897,9.122961657117674,0.8350983358547656,1.0246804759806083,3.305420890260027,3.173076923076923,1.225071225071225
Minnesota,891,278,134,920,498,461,938.4,368,128,0.2830952380952381,4.421355498721228,1.2766410912190964,8.54539641943734,1.3532608695652173,1.2851662404092072,2.666240409207161,4.725891677675033,1.3837516512549537
New York,2600,1007,299,2335,1262,1150,2614.4,1186,325,0.3159821428571429,3.958843329253366,1.2783047735618114,8.950428396572827,1.0640809443507588,1.0292992656058753,3.4665697674418605,4.125760649087221,1.2738336713995944
Philadelphia,1399,399,162,1249,603,565,1354.7,593,158,0.31966666666666665,3.7535985827120393,1.2165054993725548,9.294308703033881,1.0168634064080944,1.0762530449546024,2.6507713884992983,4.3482420473570915,1.3106912221956468
Pittsburgh,985,333,98,882,423,390,1009.1,438,117,0.2974210526315789,3.4783470419185414,1.2040432068179565,8.785055990486573,0.9657534246575342,0.8740461797641463,2.969973243484293,3.6669452569995817,1.2912661930631006
San Diego,1274,460,152,1047,540,503,1256.1,691,133,0.2851818181818182,3.6040124193933605,1.1997452432131201,9.128254119894914,0.7814761215629522,1.089085263912109,3.2959159302603296,3.282318463041354,1.1901660696841418
San Francisco,1136,419,124,1132,569,503,1189.5,490,146,0.29704545454545456,3.8058007566204286,1.3039092055485497,8.595208070617907,1.1612244897959183,0.9382093316519546,3.170239596469105,3.9418825015792796,1.2929037692145713
Seattle,1468,469,199,1348,699,646,1497.6,712,174,0.31052,3.8822115384615388,1.2132745726495726,8.822115384615385,0.9817415730337079,1.1959134615384617,2.818509615384616,3.7077406244226863,1.2469979678551637
St. Louis,990,368,143,1187,633,572,1179.3999999999999,504,140,0.26655555555555555,4.364931321010684,1.3184670171273531,7.554688824826184,1.255952380952381,1.091232830252671,2.808207563167713,3.894131185270426,1.3187571921749137
