team,team_code,team_id,league,division,wins,losses,win_pct,gb,wild_card_gb,last_10,streak,runs_scored,runs_allowed,run_diff
Orioles,,110,,,101,61,.623,-,-,,L1,807,678,129
Rays,,139,,,99,63,.611,2.0,+10.0,,W2,860,665,195
Blue Jays,,141,,,89,73,.549,12.0,-,,L2,746,671,75
Yankees,,147,,,82,80,.506,19.0,7.0,,L1,673,698,-25
Red Sox,,111,,,78,84,.481,23.0,11.0,,W1,772,776,-4
Twins,,142,,,87,75,.537,-,-,,L1,778,659,119
Tigers,,116,,,78,84,.481,9.0,11.0,,W2,661,740,-79
Guardians,,114,,,76,86,.469,11.0,13.0,,L2,662,697,-35
White Sox,,145,,,61,101,.377,26.0,28.0,,L3,641,841,-200
Royals,,118,,,56,106,.346,31.0,33.0,,W1,676,859,-183
Astros,,117,,,90,72,.556,-,-,,W4,827,698,129
Rangers,,140,,,90,72,.556,-,+1.0,,L1,881,716,165
Mariners,,136,,,88,74,.543,2.0,1.0,,W1,758,659,99
Angels,,108,,,73,89,.451,17.0,16.0,,W1,739,829,-90
Athletics,,133,,,50,112,.309,40.0,39.0,,L1,585,924,-339
Braves,,144,,,104,58,.642,-,-,,L1,947,716,231
Phillies,,143,,,90,72,.556,14.0,+6.0,,W1,796,715,81
Marlins,,146,,,84,78,.519,20.0,-,,L1,666,723,-57
Mets,,121,,,75,87,.463,29.0,9.0,,L1,717,729,-12
Nationals,,120,,,71,91,.438,33.0,13.0,,W1,700,845,-145
Brewers,,158,,,92,70,.568,-,-,,W1,728,647,81
Cubs,,112,,,83,79,.512,9.0,1.0,,L1,819,723,96
Reds,,113,,,82,80,.506,10.0,2.0,,L2,783,821,-38
Pirates,,134,,,76,86,.469,16.0,8.0,,W1,692,790,-98
Cardinals,,138,,,71,91,.438,21.0,13.0,,W2,719,829,-110
Dodgers,,119,,,100,62,.617,-,-,,W1,906,699,207
D-backs,,109,,,84,78,.519,16.0,-,,L4,746,761,-15
Padres,,135,,,82,80,.506,18.0,2.0,,W5,752,648,104
Giants,,137,,,79,83,.488,21.0,5.0,,L1,674,719,-45
Rockies,,115,,,59,103,.364,41.0,25.0,,W1,721,957,-236
