game_pk,date,status,home_team,away_team,home_team_code,away_team_code,home_team_id,away_team_id,venue,doubleheader,day_night,home_pitcher_id,away_pitcher_id,home_runs,away_runs,innings,home_hits,away_hits,home_errors,away_errors,total_runs
778869,2025-02-20,FINISHED,Los Angeles Dodgers,Chicago Cubs,,,119,112,Camelback Ranch,False,day,808967.0,547001.0,4.0,12.0,[],,,,,16.0
779055,2025-02-21,FINISHED,New York Yankees,Tampa Bay Rays,,,147,139,George M. Steinbrenner Field,False,day,573186.0,607216.0,4.0,0.0,[],,,,,4.0
778780,2025-02-21,FINISHED,Boston Red Sox,Northeastern Huskies,,,111,343,JetBlue Park,False,day,687003.0,,5.0,2.0,[],,,,,7.0
778760,2025-02-21,FINISHED,Chicago Cubs,Los Angeles Dodgers,,,112,119,Sloan Park,False,day,696136.0,664062.0,7.0,3.0,[],,,,,10.0
778949,2025-02-21,FINISHED,Kansas City Royals,Texas Rangers,,,118,140,Surprise Stadium,False,day,663738.0,543135.0,5.0,2.0,[],,,,,7.0
787940,2025-02-21,FINISHED,Arizona Diamondbacks,Colorado Rockies,,,109,115,Salt River Fields at Talking Stick,False,day,669203.0,687134.0,8.0,12.0,[],,,,,20.0
788017,2025-02-21,FINISHED,San Diego Padres,Seattle Mariners,,,135,136,Peoria Stadium,False,day,686701.0,646242.0,5.0,2.0,[],,,,,7.0
778740,2025-02-22,FINISHED,Houston Astros,Washington Nationals,,,117,120,CACTI Park of the Palm Beaches,False,day,687473.0,663623.0,3.0,6.0,[],,,,,9.0
779135,2025-02-22,FINISHED,Baltimore Orioles,Pittsburgh Pirates,,,110,134,Ed Smith Stadium,False,day,544150.0,669387.0,5.0,10.0,[],,,,,15.0
778977,2025-02-22,FINISHED,Tampa Bay Rays,Boston Red Sox,,,139,111,Charlotte Sports Park,False,day,621097.0,682990.0,4.0,6.0,[],,,,,10.0
779117,2025-02-22,FINISHED,Detroit Tigers,Philadelphia Phillies,,,116,143,Publix Field at Joker Marchant Stadium,False,day,628317.0,622503.0,7.0,6.0,[],,,,,13.0
778880,2025-02-22,FINISHED,Minnesota Twins,Atlanta Braves,,,142,144,Lee Health Sports Complex,False,day,805673.0,519242.0,3.0,1.0,[],,,,,4.0
778963,2025-02-22,FINISHED,Toronto Blue Jays,New York Yankees,,,141,147,TD Ballpark,False,day,687922.0,607074.0,6.0,4.0,[],,,,,10.0
778898,2025-02-22,FINISHED,New York Mets,Houston Astros,,,121,117,Clover Park,False,day,605280.0,676467.0,6.0,2.0,[],,,,,8.0
779087,2025-02-22,FINISHED,Miami Marlins,St. Louis Cardinals,,,146,138,Roger Dean Chevrolet Stadium,False,day,678368.0,607200.0,7.0,6.0,[],,,,,13.0
778840,2025-02-22,FINISHED,Cincinnati Reds,Cleveland Guardians,,,113,114,Goodyear Ballpark,False,day,668881.0,663474.0,6.0,3.0,[],,,,,9.0
778867,2025-02-22,FINISHED,Los Angeles Dodgers,Kansas City Royals,,,119,118,Camelback Ranch,False,day,693308.0,669441.0,10.0,11.0,[],,,,,21.0
778944,2025-02-22,FINISHED,Texas Rangers,San Francisco Giants,,,140,137,Surprise Stadium,False,day,641816.0,694738.0,1.0,6.0,[],,,,,7.0
778757,2025-02-22,FINISHED,Chicago Cubs,Chicago White Sox,,,112,145,Sloan Park,False,day,657006.0,694363.0,7.0,3.0,[],,,,,10.0
778808,2025-02-22,FINISHED,Colorado Rockies,Arizona Diamondbacks,,,115,109,Salt River Fields at Talking Stick,False,day,687312.0,620454.0,9.0,3.0,[],,,,,12.0
779026,2025-02-22,FINISHED,San Diego Padres,Athletics,,,135,133,Peoria Stadium,False,day,663362.0,669372.0,10.0,3.0,[],,,,,13.0
779162,2025-02-22,FINISHED,Los Angeles Angels,Seattle Mariners,,,108,136,Tempe Diablo Stadium,False,day,686799.0,688138.0,11.0,10.0,[],,,,,21.0
779103,2025-02-22,FINISHED,Milwaukee Brewers,Cincinnati Reds,,,158,113,American Family Fields of Phoenix,False,day,692230.0,668933.0,8.0,7.0,[],,,,,15.0
778742,2025-02-23,FINISHED,Washington Nationals,New York Mets,,,120,121,CACTI Park of the Palm Beaches,False,day,829272.0,686654.0,11.0,6.0,[],,,,,17.0
779085,2025-02-23,FINISHED,St. Louis Cardinals,Houston Astros,,,138,117,Roger Dean Chevrolet Stadium,False,day,571945.0,681293.0,6.0,11.0,[],,,,,17.0
778778,2025-02-23,FINISHED,Boston Red Sox,Toronto Blue Jays,,,111,141,JetBlue Park,False,day,676979.0,684320.0,7.0,8.0,[],,,,,15.0
779039,2025-02-23,FINISHED,Pittsburgh Pirates,Minnesota Twins,,,134,142,LECOM Park,False,day,656605.0,701581.0,5.0,1.0,[],,,,,6.0
778915,2025-02-23,FINISHED,Philadelphia Phillies,Baltimore Orioles,,,143,110,BayCare Ballpark,False,day,663969.0,700249.0,3.0,7.0,[],,,,,10.0
778705,2025-02-23,FINISHED,Atlanta Braves,Tampa Bay Rays,,,144,139,CoolToday Park,False,day,666120.0,697812.0,2.0,4.0,[],,,,,6.0
779054,2025-02-23,FINISHED,New York Yankees,Detroit Tigers,,,147,116,George M. Steinbrenner Field,False,day,682044.0,663554.0,0.0,4.0,[],,,,,4.0
