team,SO,BB,HR,H,R,ER,IP,G,GS,BABIP,ERA,WHIP,K_per_9,runs_allowed_per_game,HR_per_9,BB_per_9,bullpen_era,bullpen_whip
Arizona,1084,484,207,1304,779,711,1240.4,554,160,0.31196969696969695,5.158819735569171,1.4414704933892293,7.865204772653982,1.4061371841155235,1.50193485972267,3.5117703966462432,5.508122402720061,1.5791462032489612
Atlanta,1513,527,172,1251,648,603,1456.8,753,169,0.28543478260869565,3.7252883031301485,1.2204832509610104,9.347199341021417,0.8605577689243028,1.0626029654036244,3.2557660626029654,3.6927932667017362,1.2765211292302299
Baltimore,1148,514,242,1404,878,839,1293.7,658,154,0.29084375,5.836747313905851,1.4825693746618227,7.986395609492154,1.3343465045592706,1.6835433253459071,3.5757903687099017,5.612359550561798,1.4644194756554307
Boston,1487,511,170,1348,719,647,1374.8,662,173,0.3091,4.2355251672970615,1.3521966831539134,9.734506837358161,1.0861027190332326,1.1128891475123655,3.345213849287169,3.648371669323616,1.34821225233432
Chicago,2794,1004,383,2393,1357,1245,2631.0,1362,295,0.3060909090909091,4.258836944127708,1.2911440516913721,9.557582668187,0.9963289280469897,1.3101482326111746,3.434435575826682,4.253637204608528,1.2976200487763856
Cincinnati,1321,529,173,1141,636,590,1237.6,544,162,0.25366666666666665,4.290562378797674,1.3493859082094377,9.60649644473174,1.1691176470588236,1.2580801551389789,3.8469618616677446,4.923766816143497,1.4147982062780269
Cleveland,1322,495,210,1228,696,648,1347.2,648,161,0.2848095238095238,4.32897862232779,1.2789489311163895,8.831650831353919,1.0740740740740742,1.4029097387173395,3.306858669833729,4.069057611598626,1.3487218618847767
Colorado,1218,517,188,1356,773,728,1335.0,662,160,0.3197083333333333,4.907865168539326,1.402996254681648,8.21123595505618,1.1676737160120847,1.2674157303370785,3.4853932584269662,5.069152134696332,1.4632190819803568
Detroit,1216,554,195,1330,727,653,1372.7,700,162,0.27922222222222226,4.281343337947112,1.3724775988926932,7.972608727325708,1.0385714285714285,1.278502221898448,3.6322575945217452,4.297370806890299,1.4415231187669992
Houston,1464,550,194,1218,654,609,1437.0,619,178,0.283125,3.81419624217119,1.2303409881697982,9.169102296450939,1.0565428109854604,1.2150313152400836,3.4446764091858038,3.8035311795642377,1.2584522915101428
