team,SO,BB,HR,H,R,ER,IP,G,GS,BABIP,ERA,WHIP,K_per_9,runs_allowed_per_game,HR_per_9,BB_per_9,bullpen_era,bullpen_whip
Arizona,1155,479,183,1262,683,623,1362.7,662,157,0.2881111111111111,4.114625376091583,1.2776106259631612,7.628238056799002,1.0317220543806647,1.2086299258824391,3.163572319659499,4.613605704374639,1.402967816534978
Atlanta,1386,426,131,1058,533,492,1273.5,552,152,0.2605217391304348,3.477031802120141,1.165292500981547,9.79505300353357,0.9655797101449275,0.9257950530035336,3.010600706713781,3.1125827814569536,1.0988471915624234
Baltimore,1051,379,155,1249,611,567,1252.5,600,145,0.32637037037037037,4.074251497005988,1.2998003992015967,7.552095808383234,1.0183333333333333,1.1137724550898205,2.7233532934131737,3.4988839285714284,1.2295386904761905
Boston,1226,460,174,1318,721,663,1321.0,634,159,0.2968275862068966,4.517032551097653,1.3459500378501135,8.352763058289176,1.137223974763407,1.1854655563966692,3.133989401968206,4.403321899259795,1.2962628633327316
Chicago,2501,941,326,2387,1265,1121,2588.7999999999997,1149,311,0.30696226415094335,3.8971724351050683,1.285537700865266,8.694762051915946,1.1009573542210618,1.133343634116193,3.2713998763906065,4.3407199438483905,1.3556602827634612
Cincinnati,1130,509,185,1138,693,653,1158.6,650,128,0.30853125,5.072501294665977,1.4215432418436045,8.777835318487831,1.0661538461538462,1.4370792335577423,3.9539098912480584,4.994096812278631,1.4218249283184348
Cleveland,1464,454,182,1275,651,578,1509.2,693,169,0.27452173913043476,3.4468592631857935,1.1456400742115027,8.730453220249139,0.9393939393939394,1.085343228200371,2.7073946461701563,3.11489810260014,1.1138439915671117
Colorado,1061,478,164,1347,773,714,1267.6,578,145,0.30422727272727274,5.069422530766804,1.4397286210160936,7.533133480593247,1.3373702422145328,1.1644051751341118,3.393815083622594,4.813772195755738,1.4161974880900823
Detroit,1121,473,158,1260,666,597,1322.0,663,160,0.28548275862068967,4.064296520423601,1.31089258698941,7.631618759455371,1.004524886877828,1.075642965204236,3.2201210287443267,3.330138036809816,1.2960122699386503
Houston,1614,480,140,1123,515,464,1484.9,668,163,0.28415,2.8123105933059462,1.0795339753518756,9.782476934473701,0.7709580838323353,0.8485419893595527,2.9092868206613236,2.5961538461538463,1.1165620094191522
Kansas City,1074,531,159,1341,725,666,1278.9,624,158,0.3212083333333334,4.686840253342716,1.4637579169598873,7.558057705840956,1.1618589743589745,1.1189303307529908,3.7368050668543273,4.8946037099494095,1.496627318718381
Los Angeles,2622,864,287,2121,1045,931,2620.8,1240,295,0.2687777777777778,3.1971153846153846,1.1389652014652014,9.004120879120878,0.842741935483871,0.9855769230769229,2.9670329670329667,3.382116891700501,1.1547540364460391
Miami,1335,480,163,1208,620,568,1326.7,592,162,0.3015185185185185,3.85316951835381,1.2723298409587698,9.05630511796186,1.0472972972972974,1.105751111781111,3.2561995929750505,4.196891191709844,1.4597882405947284
Milwaukee,1391,481,165,1150,624,559,1335.5,610,159,0.276,3.7671284163234744,1.2212654436540622,9.374017222014228,1.022950819672131,1.1119430924747287,3.2414825907899663,3.7368881118881117,1.2281468531468531
Minnesota,1203,398,161,1166,599,555,1271.0,605,153,0.2989655172413793,3.929976396538159,1.2305271439811172,8.51848937844217,0.9900826446280991,1.140047206923682,2.8182533438237605,3.8516653756777695,1.2722695584817971
New York,2847,806,303,2264,1072,1011,2678.8,1212,302,0.285695652173913,3.396670150813797,1.1460355383007317,9.56510377781096,0.8844884488448845,1.0179931312527997,2.7079289233985366,3.227811782708493,1.1983550114766641
Oakland,987,437,168,1177,666,625,1205.7,599,134,0.29,4.6653396367255535,1.3386414530977855,7.367504354316994,1.1118530884808013,1.2540432943518287,3.262005473998507,4.228440175401962,1.3280434328669868
Philadelphia,1470,456,148,1295,669,617,1437.0,675,168,0.30159259259259263,3.864300626304802,1.2185107863604732,9.206680584551147,0.9911111111111112,0.9269311064718163,2.8559498956158667,4.1032974427994615,1.3122476446837148
Pittsburgh,917,420,131,1054,610,547,1039.0,431,129,0.31330434782608696,4.738209817131858,1.4186717998075071,7.943214629451395,1.4153132250580047,1.134744947064485,3.638113570741097,4.775032509752926,1.41222366710013
San Diego,1465,473,185,1273,651,605,1462.8,617,174,0.258,3.722313371616079,1.1936013125512717,9.013535684987696,1.0551053484602917,1.138228055783429,2.910172272354389,3.5259072034663297,1.2059938617078896
San Francisco,1303,407,127,1301,648,572,1345.2,666,161,0.31272,3.8269402319357715,1.2696996729110912,8.717662801070473,0.972972972972973,0.8496877787689563,2.723015165031222,3.952541172303878,1.3493890561360014
Seattle,1300,412,171,1190,573,530,1347.2,641,154,0.2614090909090909,3.5406769596199523,1.1891330166270784,8.684679334916865,0.8939157566302652,1.1423693586698336,2.752375296912114,3.3451957295373664,1.0933175168050613
St. Louis,999,429,131,1156,574,550,1234.9,549,139,0.29200000000000004,4.008421734553405,1.2835047372256863,7.280751477852458,1.0455373406193078,0.9547331767754474,3.126568952951656,4.037558685446009,1.2919492262215266
Tampa Bay,1279,342,160,1159,561,493,1325.3,647,159,0.2822903225806451,3.3479212253829322,1.1325737568852337,8.685580623255113,0.8670788253477589,1.0865464423149476,2.3224930204482,3.4789440603394093,1.1769327467001887
Texas,1253,555,161,1296,710,644,1374.3,645,155,0.2900740740740741,4.217419777341192,1.3468674961798734,8.205631958087753,1.1007751937984496,1.054354944335298,3.634577603143419,4.00976502898993,1.3182789136405249
Toronto,1293,383,164,1238,616,563,1321.0,658,153,0.3228260869565217,3.8357305071915215,1.227100681302044,8.809235427706284,0.9361702127659575,1.117335352006056,2.6093868281604844,3.7881508078994615,1.2307999202074607
Washington,1171,532,226,1370,783,717,1336.2,705,154,0.28454838709677416,4.829366861248316,1.4234396048495734,7.887292321508756,1.1106382978723404,1.522227211495285,3.5832959137853613,3.9573188198224,1.3047837295903753
