name,Age,team,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,ERA,WHIP,BABIP,K_per_9,pitcher_id,season
Emmet Sheehan,23,Los Angeles,14,11,4.0,1.0,1.0,64.0,50,36,36,28,68,12,5.06,1.219,0.244,9.6,686218,2023
Ryan Sherriff,33,Boston,5,0,,,,6.2,6,2,2,2,5,0,2.7,1.2,0.286,6.8,595411,2023
Zack Short,28,Detroit,6,0,,,,6.0,12,4,4,1,1,0,6.0,2.167,0.414,1.5,670097,2023
Chasen Shreve,32,"Cincinnati,Detroit",50,0,1.0,2.0,,44.2,46,25,23,14,45,7,4.63,1.343,0.312,9.1,592741,2023
Jared Shuster,24,Atlanta,11,11,4.0,3.0,,52.2,53,34,34,26,30,7,5.81,1.5,0.277,5.1,694363,2023
Chase Silseth,23,Los Angeles,16,8,4.0,1.0,,52.1,41,26,23,26,56,9,3.96,1.28,0.25,9.6,681217,2023
Lucas Sims,29,Cincinnati,67,0,7.0,3.0,3.0,61.0,33,23,21,39,72,5,3.1,1.18,0.215,10.6,608371,2023
Brady Singer,26,Kansas City,29,29,8.0,11.0,,159.2,182,102,98,49,133,20,5.52,1.447,0.33,7.5,663903,2023
Tarik Skubal,26,Detroit,15,15,7.0,3.0,,80.1,58,28,25,14,102,4,2.8,0.896,0.289,11.4,669373,2023
Ethan Small,26,Milwaukee,2,0,,,1.0,4.0,9,5,5,2,6,1,11.25,2.75,0.571,13.5,663629,2023
Devin Smeltzer,27,Miami,9,1,,1.0,,22.1,29,18,16,4,16,7,6.45,1.478,0.319,6.4,656970,2023
Chad Smith,28,Oakland,10,0,1.0,2.0,,13.2,15,10,10,7,9,2,6.59,1.61,0.325,5.9,663385,2023
Drew Smith,29,New York,62,0,4.0,6.0,3.0,56.1,50,31,26,29,60,7,4.15,1.402,0.301,9.6,622098,2023
Will Smith,33,Texas,65,0,2.0,7.0,22.0,60.2,47,35,32,20,59,6,4.75,1.104,0.263,8.8,519293,2023
AJ Smith-Shawver,20,Atlanta,7,5,1.0,,,28.0,20,17,15,12,23,10,4.82,1.143,0.141,7.4,700363,2023
Drew Smyly,34,Chicago,41,23,11.0,11.0,,142.1,147,89,79,56,141,26,5.0,1.426,0.307,8.9,592767,2023
Kirby Snead,28,Oakland,15,0,1.0,2.0,,11.2,14,7,6,6,9,1,4.63,1.714,0.325,6.9,669912,2023
Blake Snell,30,San Diego,32,32,14.0,9.0,,180.0,115,47,45,99,234,15,2.25,1.189,0.256,11.7,605483,2023
Collin Snider,27,Kansas City,20,1,,,1.0,20.1,24,12,11,13,11,3,4.87,1.82,0.309,4.9,676092,2023
Peter Solomon,26,Arizona,5,0,,,,13.1,17,18,18,11,6,2,12.15,2.1,0.319,4.1,656981,2023
George Soriano,24,Miami,27,1,,,1.0,53.0,46,26,22,23,53,6,3.74,1.302,0.28,9.0,666277,2023
Jos\xc3\xa9 Soriano,24,Los Angeles,38,0,1.0,3.0,,42.0,33,22,17,23,56,4,3.64,1.333,0.309,12.0,667755,2023
Michael Soroka,25,Atlanta,7,6,2.0,2.0,,32.1,36,23,23,12,29,9,6.4,1.485,0.3,8.1,647336,2023
Gregory Soto,28,Philadelphia,74,0,3.0,4.0,3.0,63.1,52,36,33,24,68,6,4.69,1.2,0.279,9.7,642397,2023
Bennett Sousa,28,"Houston,Milwaukee",7,0,,,,9.0,6,4,4,2,10,1,4.0,0.889,0.238,10.0,656986,2023
Alex Speas,25,Texas,3,0,,2.0,,2.0,2,3,3,5,4,0,13.5,3.5,0.667,18.0,666208,2023
Gabe Speier,28,Seattle,69,0,2.0,2.0,1.0,54.2,47,24,23,11,64,7,3.79,1.061,0.305,10.5,642100,2023
Carson Spiers,25,Cincinnati,4,2,,1.0,1.0,13.0,18,12,10,7,12,1,6.92,1.923,0.386,8.3,686730,2023
Jeffrey Springs,30,Tampa Bay,3,3,2.0,,,16.0,4,1,1,4,24,1,0.56,0.5,0.12,13.5,605488,2023
Jacob Stallings,33,Miami,7,0,,,,8.0,12,4,4,0,1,1,4.5,1.5,0.344,1.1,607732,2023
Ryne Stanek,31,Houston,59,0,4.0,1.0,,54.2,46,27,26,21,52,9,4.28,1.226,0.255,8.6,592773,2023
Josh Staumont,29,Kansas City,21,1,,,,20.0,16,12,12,13,24,1,5.4,1.45,0.313,10.8,622251,2023
Justin Steele,27,Chicago,30,30,16.0,5.0,,173.1,167,71,59,36,176,14,3.06,1.171,0.32,9.1,657006,2023
Trevor Stephan,27,Cleveland,71,0,7.0,7.0,2.0,68.2,63,35,31,26,75,6,4.06,1.296,0.318,9.8,663986,2023
Jackson Stephens,29,Atlanta,5,0,,,,12.0,13,4,4,5,11,1,3.0,1.5,0.353,8.3,623451,2023
Robert Stephenson,30,"Pittsburgh,Tampa Bay",60,0,3.0,4.0,1.0,52.1,30,20,18,16,77,8,3.1,0.879,0.222,13.2,596112,2023
Brock Stewart,31,Minnesota,31,0,2.0,,1.0,30.2,20,4,4,12,43,2,1.17,1.043,0.29,12.6,592779,2023
Gavin Stone,24,Los Angeles,8,4,1.0,1.0,1.0,31.0,46,32,31,13,22,8,9.0,1.903,0.355,6.4,694813,2023
Levi Stoudt,25,Cincinnati,4,2,,1.0,,10.1,16,11,11,8,9,1,9.58,2.323,0.405,7.8,686651,2023
Matt Strahm,31,Philadelphia,63,10,9.0,5.0,3.0,93.0,71,34,32,23,113,11,3.1,1.011,0.273,10.9,621381,2023
Chris Stratton,32,"St. Louis,Texas",68,0,2.0,1.0,1.0,86.2,73,43,40,27,84,9,4.15,1.154,0.276,8.7,608717,2023
Hunter Stratton,26,Pittsburgh,8,0,,,,12.0,9,3,3,3,10,2,2.25,1.0,0.226,7.5,676702,2023
Spencer Strider,24,Atlanta,34,34,20.0,7.0,,199.1,158,90,84,63,296,26,3.79,1.109,0.314,13.4,675911,2023
Ross Stripling,33,San Francisco,22,11,,5.0,,89.0,104,54,53,16,70,20,5.36,1.348,0.308,7.1,548389,2023
Marcus Stroman,32,Chicago,27,25,10.0,9.0,,136.2,120,68,60,52,119,9,3.95,1.259,0.283,7.8,573186,2023
Peter Strzelecki,28,"Arizona,Milwaukee",37,0,3.0,5.0,,37.0,33,18,18,12,37,3,4.38,1.216,0.294,9.0,657265,2023
Andrew Su\xc3\xa1rez,30,St. Louis,13,0,,,,27.2,33,27,22,15,17,7,7.16,1.735,0.286,5.5,605498,2023
Jos\xc3\xa9 Suarez,25,Los Angeles,11,7,1.0,3.0,,33.2,46,32,31,20,28,10,8.29,1.96,0.343,7.5,660761,2023
Ranger Suarez,27,Philadelphia,26,26,5.0,7.0,,143.2,142,63,62,50,138,14,3.88,1.336,0.318,8.6,624133,2023
Robert Suarez,32,San Diego,26,0,4.0,3.0,,27.2,15,13,13,10,24,4,4.23,0.904,0.157,7.8,663158,2023
Wander Suero,31,Los Angeles,5,0,1.0,,,8.0,6,7,7,5,9,2,7.88,1.375,0.211,10.1,593833,2023
Cole Sulser,33,Arizona,4,0,,,,5.1,5,4,4,3,4,2,6.75,1.5,0.214,6.8,642121,2023
Brent Suter,33,Colorado,57,2,4.0,3.0,,69.1,65,36,26,25,55,3,3.38,1.298,0.302,7.1,608718,2023
Erik Swanson,29,Toronto,71,0,4.0,2.0,4.0,68.0,52,22,22,24,77,8,2.91,1.118,0.277,10.2,657024,2023
Devin Sweet,26,"Oakland,Seattle",7,0,1.0,,,8.2,10,10,10,6,6,4,10.38,1.846,0.24,6.2,682967,2023
Noah Syndergaard,30,"Cleveland,Los Angeles",18,18,2.0,6.0,,88.2,104,65,64,19,56,22,6.5,1.387,0.289,5.7,592789,2023
Jameson Taillon,31,Chicago,30,29,8.0,10.0,1.0,154.1,156,96,83,41,140,27,4.84,1.276,0.292,8.2,592791,2023
Domingo Tapia,31,San Diego,15,0,,1.0,1.0,17.2,13,8,7,12,14,2,3.57,1.415,0.239,7.1,593619,2023
Freddy Tarnok,24,Oakland,5,1,1.0,1.0,,14.2,11,8,8,11,14,4,4.91,1.5,0.194,8.6,676206,2023
