name,Age,team,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,ERA,WHIP,BABIP,K_per_9,pitcher_id,season
Josh Winckowski,25,Boston,60,1,4.0,4.0,3.0,84.1,89,34,27,31,82,9,2.88,1.423,0.331,8.8,670174,2023
Josh Winder,26,Minnesota,19,0,2.0,1.0,1.0,34.2,35,16,16,14,28,3,4.15,1.413,0.314,7.3,680739,2023
Trey Wingenter,29,Detroit,17,0,1.0,,,17.0,16,11,11,7,22,2,5.82,1.353,0.333,11.6,622259,2023
Keaton Winn,25,San Francisco,9,5,1.0,3.0,1.0,42.1,36,22,22,8,35,6,4.68,1.039,0.259,7.4,676775,2023
Brett Wisely,24,San Francisco,1,0,,,,1.0,1,1,1,0,0,1,9.0,1.0,0.0,0.0,689172,2023
Nick Wittgren,32,Kansas City,27,0,1.0,,,29.0,30,17,16,11,18,2,4.97,1.414,0.298,5.6,621295,2023
Jackson Wolf,24,San Diego,1,1,1.0,,,5.0,6,3,3,1,1,0,5.4,1.4,0.3,1.8,680232,2023
Jake Wong,26,Cincinnati,1,0,,,,3.0,6,3,3,3,0,0,9.0,3.0,0.5,0.0,673858,2023
Bryan Woo,23,Seattle,18,18,4.0,5.0,,87.2,75,44,41,31,93,13,4.21,1.209,0.274,9.5,693433,2023
Alex Wood,32,San Francisco,29,12,5.0,5.0,,97.2,98,52,47,42,74,9,4.33,1.433,0.303,6.8,622072,2023
Jake Woodford,26,St. Louis,15,8,2.0,3.0,,47.2,61,34,33,22,29,11,6.23,1.741,0.318,5.5,663765,2023
Brandon Woodruff,30,Milwaukee,11,11,5.0,1.0,,67.0,40,17,17,15,74,9,2.28,0.821,0.204,9.9,605540,2023
Simeon Woods Richardson,22,Minnesota,1,0,,,,4.2,7,5,5,3,5,1,9.64,2.143,0.429,9.6,680573,2023
Kyle Wright,27,Atlanta,9,7,1.0,3.0,,31.0,40,26,24,17,34,5,6.97,1.839,0.372,9.9,657140,2023
Randy Wynne,30,Cincinnati,1,0,,1.0,,2.1,3,1,1,1,0,0,3.86,1.714,0.3,0.0,691094,2023
Jimmy Yacabonis,31,New York,7,0,2.0,1.0,,13.2,14,10,10,6,11,2,6.59,1.463,0.286,7.2,642231,2023
Ryan Yarbrough,31,"Kansas City,Los Angeles",25,9,8.0,7.0,2.0,89.2,96,45,45,14,67,13,4.52,1.227,0.302,6.7,642232,2023
Kirby Yates,36,Atlanta,62,0,7.0,2.0,5.0,61.1,36,23,22,38,82,9,3.23,1.207,0.218,12.0,489446,2023
Alex Young,29,Cincinnati,63,0,4.0,2.0,1.0,53.2,53,27,23,20,50,10,3.86,1.36,0.279,8.4,622065,2023
Danny Young,29,Atlanta,8,0,,,,8.1,7,1,1,2,11,0,1.08,1.08,0.368,11.9,664849,2023
Rob Zastryzny,31,Pittsburgh,21,1,1.0,,,20.2,24,15,11,13,15,1,4.79,1.79,0.348,6.5,642239,2023
Seby Zavala,29,Arizona,1,0,,,,0.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,664874,2023
Angel Zerpa,23,Kansas City,15,3,3.0,3.0,,42.2,46,24,23,8,36,7,4.85,1.266,0.307,7.6,672582,2023
Bruce Zimmermann,28,Baltimore,7,0,2.0,,,13.1,17,8,7,0,14,3,4.73,1.275,0.333,9.5,669145,2023
Guillo Zu\xc3\xb1iga,24,St. Louis,2,0,,,,2.0,2,1,1,0,4,0,4.5,1.0,0.5,18.0,670871,2023
