game_pk,date,status,home_team,away_team,home_team_code,away_team_code,home_team_id,away_team_id,venue,doubleheader,day_night,home_pitcher_id,away_pitcher_id,home_runs,away_runs,innings,home_hits,away_hits,home_errors,away_errors,total_runs
663809,2022-02-27,SCHEDULED,Toronto Blue Jays,Philadelphia Phillies,,,141,143,TD Ballpark,False,day,,,,,[],,,,,0.0
663808,2022-03-01,SCHEDULED,Toronto Blue Jays,Detroit Tigers,,,141,116,TD Ballpark,False,day,,,,,[],,,,,0.0
663784,2022-03-03,SCHEDULED,Toronto Blue Jays,New York Yankees,,,141,147,TD Ballpark,False,day,,,,,[],,,,,0.0
663779,2022-03-04,SCHEDULED,Toronto Blue Jays,Pittsburgh Pirates,,,141,134,TD Ballpark,False,day,,,,,[],,,,,0.0
663778,2022-03-06,SCHEDULED,Toronto Blue Jays,Boston Red Sox,,,141,111,TD Ballpark,False,day,,,,,[],,,,,0.0
663802,2022-03-09,SCHEDULED,Toronto Blue Jays,Detroit Tigers,,,141,116,TD Ballpark,False,day,,,,,[],,,,,0.0
663799,2022-03-11,SCHEDULED,Toronto Blue Jays,Philadelphia Phillies,,,141,143,TD Ballpark,False,day,,,,,[],,,,,0.0
663777,2022-03-13,SCHEDULED,Toronto Blue Jays,Minnesota Twins,,,141,142,TD Ballpark,False,day,,,,,[],,,,,0.0
663791,2022-03-15,SCHEDULED,Toronto Blue Jays,Tampa Bay Rays,,,141,139,TD Ballpark,False,day,,,,,[],,,,,0.0
707019,2022-03-17,FINISHED,Boston Red Sox,Minnesota Twins,,,111,142,JetBlue Park,False,day,593140.0,663485.0,14.0,1.0,[],,,,,15.0
707077,2022-03-17,FINISHED,Chicago White Sox,Chicago Cubs,,,145,112,Camelback Ranch,False,day,605138.0,592411.0,5.0,2.0,[],,,,,7.0
707078,2022-03-17,FINISHED,Chicago Cubs,Chicago White Sox,,,112,145,Sloan Park,False,day,543294.0,665417.0,3.0,4.0,[],,,,,7.0
706975,2022-03-17,FINISHED,Colorado Rockies,Arizona Diamondbacks,,,115,109,Salt River Fields at Talking Stick,False,day,621389.0,674072.0,5.0,3.0,[],,,,,8.0
706825,2022-03-18,FINISHED,St. Louis Cardinals,Houston Astros,,,138,117,Roger Dean Chevrolet Stadium,False,day,425794.0,434378.0,4.0,2.0,[],,,,,6.0
707020,2022-03-18,FINISHED,Boston Red Sox,Tampa Bay Rays,,,111,139,JetBlue Park,False,day,543135.0,607391.0,7.0,6.0,[],,,,,13.0
707027,2022-03-18,FINISHED,Baltimore Orioles,Toronto Blue Jays,,,110,141,Ed Smith Stadium,False,day,657093.0,621244.0,5.0,9.0,[],,,,,14.0
706967,2022-03-18,SCHEDULED,Detroit Tigers,Philadelphia Phillies,,,116,143,Publix Field at Joker Marchant Stadium,False,day,593958.0,547184.0,,,[],,,,,0.0
707037,2022-03-18,FINISHED,Atlanta Braves,Minnesota Twins,,,144,142,CoolToday Park,False,day,693821.0,656970.0,3.0,1.0,[],,,,,4.0
706863,2022-03-18,FINISHED,Pittsburgh Pirates,New York Yankees,,,134,147,LECOM Park,False,day,640444.0,669713.0,4.0,3.0,[],,,,,7.0
706984,2022-03-18,FINISHED,Cleveland Guardians,Cincinnati Reds,,,114,113,Goodyear Ballpark,False,day,668684.0,666157.0,3.0,2.0,[],,,,,5.0
706882,2022-03-18,FINISHED,Oakland Athletics,Los Angeles Angels,,,133,108,Hohokam Stadium,False,day,641703.0,547179.0,10.0,8.0,[],,,,,18.0
706813,2022-03-18,FINISHED,Texas Rangers,Kansas City Royals,,,140,118,Surprise Stadium,False,day,656641.0,669169.0,5.0,5.0,[],,,,,10.0
706934,2022-03-18,FINISHED,Los Angeles Dodgers,Milwaukee Brewers,,,119,158,Camelback Ranch,False,day,477132.0,663629.0,3.0,3.0,[],,,,,6.0
