team,team_code,team_id,league,division,wins,losses,win_pct,gb,wild_card_gb,last_10,streak,runs_scored,runs_allowed,run_diff
Rays,,139,,,100,62,.617,-,-,,L1,857,651,206
Red Sox,,111,,,92,70,.568,8.0,-,,W3,829,749,80
Yankees,,147,,,92,70,.568,8.0,-,,W1,711,669,42
Blue Jays,,141,,,91,71,.562,9.0,1.0,,W3,846,663,183
Orioles,,110,,,52,110,.321,48.0,40.0,,L3,659,956,-297
White Sox,,145,,,93,69,.574,-,-,,L1,796,636,160
Indians,,114,,,80,82,.494,13.0,12.0,,W1,717,727,-10
Tigers,,116,,,77,85,.475,16.0,15.0,,W1,697,756,-59
Royals,,118,,,74,88,.457,19.0,18.0,,L2,686,788,-102
Twins,,142,,,73,89,.451,20.0,19.0,,W2,729,834,-105
Astros,,117,,,95,67,.586,-,-,,W2,863,658,205
Mariners,,136,,,90,72,.556,5.0,2.0,,L1,697,748,-51
Athletics,,133,,,86,76,.531,9.0,6.0,,L2,743,687,56
Angels,,108,,,77,85,.475,18.0,15.0,,W1,723,804,-81
Rangers,,140,,,60,102,.370,35.0,32.0,,L1,625,815,-190
Braves,,144,,,88,73,.547,-,-,,W2,790,656,134
Phillies,,143,,,82,80,.506,6.5,8.0,,L2,734,745,-11
Mets,,121,,,77,85,.475,11.5,13.0,,L2,636,668,-32
Marlins,,146,,,67,95,.414,21.5,23.0,,W2,623,701,-78
Nationals,,120,,,65,97,.401,23.5,25.0,,L5,724,820,-96
Brewers,,158,,,95,67,.586,-,-,,L4,738,623,115
Cardinals,,138,,,90,72,.556,5.0,-,,L2,706,672,34
Reds,,113,,,83,79,.512,12.0,7.0,,W1,786,760,26
Cubs,,112,,,71,91,.438,24.0,19.0,,W2,705,839,-134
Pirates,,134,,,61,101,.377,34.0,29.0,,L1,609,833,-224
Giants,,137,,,107,55,.660,-,-,,W1,804,594,210
Dodgers,,119,,,106,56,.654,1.0,+16.0,,W7,830,561,269
Padres,,135,,,79,83,.488,28.0,11.0,,L1,729,708,21
Rockies,,115,,,74,87,.460,32.5,15.5,,L2,739,796,-57
D-backs,,109,,,52,110,.321,55.0,38.0,,W2,679,893,-214
