team,SO,BB,HR,H,R,ER,IP,G,GS,BABIP,ERA,WHIP,K_per_9,runs_allowed_per_game,HR_per_9,BB_per_9,bullpen_era,bullpen_whip
Arizona,1237,456,170,1397,745,701,1363.6,630,162,0.3051153846153846,4.626723379290115,1.358902904077442,8.164417717805808,1.1825396825396826,1.122029920797888,3.0096802581402176,4.1582965046203295,1.35797509039775
Atlanta,1527,438,147,1267,598,552,1424.8999999999999,629,164,0.3267037037037037,3.4865604603831852,1.1965751982595272,9.64488736051653,0.9507154213036566,0.9284862095585656,2.7665099305214405,3.213708953884802,1.1681320653149112
Baltimore,1114,388,129,968,522,471,1118.3,531,133,0.26776190476190476,3.7905749798801756,1.212554770633998,8.96539390145757,0.9830508474576272,1.0381829562729143,3.1225967987123315,3.931578947368421,1.2
Boston,1250,417,166,1219,647,568,1311.8,618,157,0.27444,3.896935508461656,1.2471413325202012,8.57600243939625,1.0469255663430421,1.1388931239518219,2.8609544137825886,3.8342778972053932,1.2976353332030486
Chicago,2132,927,310,2160,1205,1085,2270.2999999999997,914,297,0.31716,4.301193674844734,1.3597321939831741,8.451746465224861,1.3183807439824946,1.228912478527067,3.6748447341761006,4.602657307595889,1.4790674354474806
Cincinnati,1218,423,172,1146,611,570,1249.1,616,138,0.2954642857142857,4.106957009046514,1.2561043951645186,8.775918661436235,0.9918831168831169,1.2392922904491233,3.047794411976623,4.270878407615751,1.2793884321361604
Cleveland,1414,487,174,1179,601,553,1394.0,753,166,0.2706,3.5703012912482066,1.1951219512195121,9.129124820659971,0.798140770252324,1.1233859397417503,3.144189383070301,2.481242366079218,1.017274472168906
Colorado,1003,505,209,1473,848,795,1295.8,565,156,0.3544827586206896,5.521685445284766,1.5264701342799816,6.966352832227196,1.5008849557522124,1.4516129032258067,3.5074857231054177,5.75623491552695,1.6069991954947707
Detroit,1165,366,138,1135,573,522,1298.3,599,150,0.2558095238095238,3.6185781406454596,1.1561272433181853,8.07594546714935,0.9565943238731218,0.9566356004005238,2.537163983670954,3.2611832611832607,1.099887766554433
Houston,1370,523,168,1151,599,555,1327.5,623,153,0.3038518518518519,3.76271186440678,1.2610169491525425,9.288135593220339,0.9614767255216693,1.1389830508474577,3.545762711864407,3.5833500904886386,1.24069977880555
Kansas City,1313,475,146,1274,628,584,1397.1,648,162,0.2763333333333333,3.7620785913678336,1.251878891990552,8.458234915181448,0.9691358024691358,0.9405196478419584,3.0599098131844538,4.259073591337477,1.3535191497894525
Los Angeles,2334,956,349,2259,1289,1178,2471.7999999999997,1167,300,0.2827258064516129,4.28918197265151,1.3006715753701756,8.49826037705316,1.104541559554413,1.2707338781454813,3.480864147584757,3.8790781203232565,1.2770627556619776
Miami,926,394,155,1027,625,573,998.1,468,127,0.30296666666666666,5.166816952209198,1.423705039575193,8.349864743011722,1.3354700854700854,1.3976555455365194,3.5527502254283134,5.227706572129806,1.4316880283610582
Milwaukee,1159,409,155,1088,536,491,1218.7,595,138,0.28196,3.6259949126117994,1.2283580864855994,8.559120374169197,0.9008403361344538,1.144662345121851,3.0204316074505617,3.375,1.1955128205128205
Minnesota,1457,407,188,1299,715,662,1392.8999999999999,665,162,0.28243333333333337,4.27740684902003,1.2247828271950607,9.41417187163472,1.0751879699248121,1.21473185440448,2.6297652379926775,4.263986013986014,1.2762237762237763
New York,2778,1081,334,2339,1265,1156,2730.3999999999996,1147,346,0.28041176470588236,3.8104307061236455,1.2525637269264578,9.15690008789921,1.102877070619006,1.1009375915616761,3.5632141810723708,3.7319474835886215,1.2450765864332605
Oakland,1167,486,154,1268,695,632,1317.6,626,153,0.3,4.316939890710382,1.3312082574377657,7.971311475409837,1.110223642172524,1.051912568306011,3.3196721311475414,3.481555333998006,1.272183449651047
Philadelphia,1343,406,174,1260,624,581,1348.5,570,165,0.3287083333333333,3.877641824249166,1.235446792732666,8.963292547274749,1.0947368421052632,1.161290322580645,2.7096774193548385,3.9401384855930313,1.2352021442930534
Pittsburgh,1138,428,135,1083,587,534,1170.2,551,135,0.3153913043478261,4.106990258075543,1.291232267988378,8.752350025636643,1.0653357531760435,1.0382840540078617,3.2917450008545543,4.446419051004087,1.3701794917362715
San Diego,1318,416,152,1191,625,574,1305.3999999999999,590,159,0.34205,3.957407691129156,1.2310402941627088,9.086869924927226,1.0593220338983051,1.0479546499157348,2.868086410295695,3.855715871254162,1.2563817980022198
San Francisco,1376,493,143,1246,639,599,1359.1,677,159,0.3131923076923077,3.966595541166949,1.279523213891546,9.111912294901039,0.9438700147710487,0.9469501876241632,3.264660437053933,3.56135853892983,1.2495994873437999
Seattle,1314,330,165,1095,553,506,1325.3999999999999,573,162,0.2636,3.4359438660027166,1.075147125396107,8.92258940697148,0.9650959860383944,1.1204164780443642,2.2408329560887283,3.579676674364896,1.193225558121632
St. Louis,1236,432,164,1288,686,618,1358.2,641,152,0.2893636363636363,4.095125901929023,1.2663819761448976,8.190251803858047,1.0702028081123245,1.0867324399941098,2.862612280960094,3.839020771513353,1.27040059347181
Tampa Bay,1054,334,146,921,473,430,1047.2,489,116,0.27776190476190477,3.695569136745607,1.1984339190221542,9.058441558441558,0.967280163599182,1.2547746371275783,2.8705118411000763,3.75146771037182,1.197651663405088
Texas,1154,393,159,1086,595,557,1168.8,508,142,0.29933333333333334,4.289014373716633,1.2654004106776182,8.886036960985626,1.171259842519685,1.2243326488706365,3.0261806981519506,4.0494044993383325,1.2836347595941775
Toronto,965,380,159,988,539,486,1086.9,495,138,0.27057894736842103,4.024289263041678,1.258625448523323,7.990615512006624,1.0888888888888888,1.316588462600055,3.1465636213083075,4.161849710982659,1.239306358381503
Washington,1200,436,161,1313,716,643,1303.5,611,162,0.3258636363636364,4.439585730724971,1.3417721518987342,8.285385500575375,1.1718494271685762,1.1116225546605292,3.010356731875719,4.456216216216216,1.3578378378378377
