game_pk,date,status,home_team,away_team,home_team_code,away_team_code,home_team_id,away_team_id,venue,doubleheader,day_night,home_pitcher_id,away_pitcher_id,home_runs,away_runs,innings,home_hits,away_hits,home_errors,away_errors,total_runs
719496,2023-02-24,FINISHED,Boston Red Sox,Northeastern Huskies,,,111,343,JetBlue Park,False,day,665996.0,,5.0,3.0,[],,,,,8.0
718938,2023-02-24,FINISHED,Kansas City Royals,Texas Rangers,,,118,140,Surprise Stadium,False,day,663738.0,657248.0,6.0,5.0,[],,,,,11.0
719395,2023-02-24,FINISHED,San Diego Padres,Seattle Mariners,,,135,136,Peoria Stadium,False,day,607259.0,592662.0,2.0,3.0,[],,,,,5.0
719391,2023-02-25,FINISHED,Houston Astros,New York Mets,,,117,121,The Ballpark of the Palm Beaches,False,day,656232.0,660593.0,4.0,2.0,[],,,,,6.0
719389,2023-02-25,FINISHED,St. Louis Cardinals,Washington Nationals,,,138,120,Roger Dean Chevrolet Stadium,False,day,425794.0,669022.0,2.0,3.0,[],,,,,5.0
719388,2023-02-25,FINISHED,Pittsburgh Pirates,Toronto Blue Jays,,,134,141,LECOM Park,False,day,656605.0,579328.0,7.0,9.0,[],,,,,16.0
719393,2023-02-25,FINISHED,Baltimore Orioles,Minnesota Twins,,,110,142,Ed Smith Stadium,False,day,680723.0,686973.0,10.0,5.0,[],,,,,15.0
719394,2023-02-25,FINISHED,Minnesota Twins,Tampa Bay Rays,,,142,139,Hammond Stadium,False,day,628317.0,681867.0,8.0,4.0,[],,,,,12.0
719392,2023-02-25,FINISHED,Detroit Tigers,Philadelphia Phillies,,,116,143,Publix Field at Joker Marchant Stadium,False,day,682051.0,674681.0,4.0,2.0,[],,,,,6.0
719396,2023-02-25,FINISHED,Atlanta Braves,Boston Red Sox,,,144,111,CoolToday Park,False,day,663465.0,571616.0,6.0,6.0,[],,,,,12.0
719386,2023-02-25,FINISHED,Philadelphia Phillies,New York Yankees,,,143,147,BayCare Ballpark,False,day,656793.0,543901.0,7.0,4.0,[],,,,,11.0
719381,2023-02-25,FINISHED,Cincinnati Reds,Cleveland Guardians,,,113,114,Goodyear Ballpark,False,day,682227.0,615698.0,4.0,3.0,[],,,,,7.0
719383,2023-02-25,FINISHED,Oakland Athletics,Arizona Diamondbacks,,,133,109,Hohokam Stadium,False,day,676664.0,686753.0,12.0,7.0,[],,,,,19.0
719385,2023-02-25,FINISHED,Chicago Cubs,San Francisco Giants,,,112,137,Sloan Park,False,day,573186.0,663941.0,10.0,8.0,[],,,,,18.0
719375,2023-02-25,FINISHED,Texas Rangers,Kansas City Royals,,,140,118,Surprise Stadium,False,day,543135.0,594577.0,5.0,10.0,[],,,,,15.0
719380,2023-02-25,FINISHED,Chicago White Sox,San Diego Padres,,,145,135,Camelback Ranch,False,day,458681.0,607625.0,2.0,6.0,[],,,,,8.0
719390,2023-02-25,FINISHED,Arizona Diamondbacks,Colorado Rockies,,,109,115,Salt River Fields at Talking Stick,False,day,669194.0,663562.0,5.0,12.0,[],,,,,17.0
719384,2023-02-25,FINISHED,Seattle Mariners,Los Angeles Angels,,,136,108,Peoria Stadium,False,day,594835.0,656353.0,1.0,5.0,[],,,,,6.0
719382,2023-02-25,FINISHED,Milwaukee Brewers,Los Angeles Dodgers,,,158,119,American Family Fields of Phoenix,False,day,476594.0,675627.0,7.0,4.0,[],,,,,11.0
719387,2023-02-25,FINISHED,New York Mets,Miami Marlins,,,121,146,Clover Park,False,night,676130.0,666129.0,5.0,2.0,[],,,,,7.0
719377,2023-02-26,FINISHED,Detroit Tigers,Baltimore Orioles,,,116,110,Publix Field at Joker Marchant Stadium,False,day,593958.0,665152.0,6.0,10.0,[],,,,,16.0
719371,2023-02-26,FINISHED,Washington Nationals,Houston Astros,,,120,117,The Ballpark of the Palm Beaches,False,day,592866.0,664353.0,3.0,2.0,[],,,,,5.0
719378,2023-02-26,FINISHED,Boston Red Sox,Tampa Bay Rays,,,111,139,JetBlue Park,False,day,670174.0,671737.0,7.0,6.0,[],,,,,13.0
719373,2023-02-26,FINISHED,Philadelphia Phillies,Minnesota Twins,,,143,142,BayCare Ballpark,False,day,571479.0,657746.0,10.0,8.0,[],,,,,18.0
719374,2023-02-26,FINISHED,New York Yankees,Atlanta Braves,,,147,144,George M. Steinbrenner Field,False,day,657376.0,693821.0,7.0,0.0,[],,,,,7.0
