team,HR,R,H,BB,SO,SB,G,PA,AB,BA,OBP,SLG,OPS,AVG,runs_per_game,HR_per_game,BB_pct,K_pct,season
Arizona,176,742,1348,536,1227,165,1647,6018,5335,0.21722222222222223,0.28861111111111115,0.3368888888888889,0.6256111111111111,0.2526710402999063,0.45051608986035213,0.10686095931997572,0.08906613492854769,0.20388833499501496,2023
Atlanta,309,940,1549,544,1309,128,1595,6309,5652,0.26763157894736844,0.3276842105263158,0.4306842105263158,0.7582631578947369,0.2740622788393489,0.5893416927899686,0.19373040752351098,0.08622602631161833,0.2074813758123316,2023
Baltimore,178,782,1367,484,1343,108,1684,5990,5390,0.2272,0.2926,0.348,0.6405000000000001,0.2536178107606679,0.4643705463182898,0.10570071258907364,0.08080133555926544,0.22420701168614357,2023
Boston,173,707,1326,439,1256,103,1549,5625,5072,0.23479999999999998,0.30305,0.37995,0.6829500000000001,0.2614353312302839,0.4564234990316333,0.11168495803744351,0.07804444444444444,0.2232888888888889,2023
Chicago,325,1366,2561,885,2549,220,3094,11396,10280,0.2067317073170732,0.26880487804878045,0.33787804878048777,0.6066829268292683,0.24912451361867705,0.4414996767937944,0.10504201680672269,0.07765882765882766,0.2236749736749737,2023
Cincinnati,197,774,1361,547,1485,187,1694,6116,5429,0.24808333333333332,0.3173333333333333,0.4135,0.7310833333333333,0.25069073494197824,0.45690672963400236,0.11629279811097992,0.0894375408763898,0.24280575539568344,2023
Cleveland,107,563,1161,389,940,137,1431,5122,4635,0.23594444444444443,0.31266666666666665,0.34794444444444445,0.6604444444444444,0.2504854368932039,0.39343116701607267,0.07477288609364081,0.07594689574385007,0.18352206169465052,2023
Colorado,130,565,1081,346,1278,72,1316,4797,4370,0.2378947368421053,0.29089473684210526,0.374,0.6647368421052631,0.24736842105263157,0.42933130699088146,0.09878419452887538,0.07212841359182823,0.26641651031894936,2023
Detroit,158,623,1214,482,1356,80,1590,5659,5088,0.22944444444444445,0.29533333333333334,0.3570555555555555,0.6523888888888889,0.2386006289308176,0.3918238993710692,0.09937106918238994,0.08517405902102845,0.23961830712139953,2023
Houston,240,871,1525,576,1312,111,1688,6604,5885,0.22033333333333335,0.2876666666666667,0.3627777777777778,0.6506111111111111,0.25913338997451146,0.5159952606635071,0.14218009478672985,0.08721986674742581,0.19866747425802544,2023
Kansas City,149,623,1247,373,1311,159,1549,5581,5079,0.22514285714285714,0.28171428571428575,0.3505238095238095,0.6320476190476191,0.24552077180547352,0.40219496449322145,0.0961910910264687,0.06683390073463537,0.23490413904318222,2023
Los Angeles,428,1470,2423,1063,2515,167,2937,10899,9560,0.21614285714285714,0.2892619047619048,0.36066666666666664,0.649952380952381,0.25345188284518827,0.5005107252298263,0.1457269322437862,0.09753188365905129,0.23075511514817873,2023
Miami,133,586,1237,384,1105,86,1549,5327,4841,0.24400000000000002,0.29844444444444446,0.3626666666666667,0.6611666666666667,0.25552571782689526,0.37830858618463525,0.08586184635248548,0.0720856016519617,0.20743382767035856,2023
Milwaukee,144,650,1167,529,1294,124,1514,5447,4828,0.244,0.31984210526315787,0.3891578947368421,0.709,0.24171499585749792,0.42932628797886396,0.095112285336856,0.0971176794565816,0.23756196071231872,2023
