team,HR,R,H,BB,SO,SB,G,PA,AB,BA,OBP,SLG,OPS,AVG,runs_per_game,HR_per_game,BB_pct,K_pct,season
Minnesota,238,786,1360,612,1708,85,1810,6363,5610,0.233,0.31095,0.41275000000000006,0.7236,0.24242424242424243,0.43425414364640885,0.13149171270718232,0.09618104667609619,0.2684268426842684,2023
New York,396,1256,2234,980,2515,181,2990,10829,9619,0.22182926829268293,0.2938780487804878,0.3805609756097561,0.6744878048780488,0.2322486744983886,0.42006688963210703,0.13244147157190636,0.09049773755656108,0.23224674485178687,2023
Oakland,159,531,1077,445,1346,130,1582,5396,4805,0.2225714285714286,0.2909047619047619,0.36123809523809525,0.6520952380952382,0.22414151925078044,0.3356510745891277,0.10050568900126422,0.08246849518161602,0.24944403261675316,2023
Philadelphia,244,855,1519,587,1589,157,1751,6651,5929,0.2405263157894737,0.3201052631578947,0.40163157894736845,0.7218421052631578,0.256198347107438,0.4882924043403769,0.1393489434608795,0.08825740490151857,0.23891144188843783,2023
Pittsburgh,131,594,1088,459,1226,104,1395,5031,4475,0.2215909090909091,0.29504545454545456,0.34595454545454546,0.6410454545454546,0.24312849162011174,0.4258064516129032,0.0939068100358423,0.09123434704830054,0.24368912741005763,2023
San Diego,181,696,1219,603,1193,137,1509,5680,4960,0.2030909090909091,0.2615909090909091,0.3387727272727273,0.6003181818181819,0.24576612903225806,0.46123260437375746,0.11994698475811796,0.10616197183098591,0.21003521126760563,2023
San Francisco,173,669,1252,538,1450,57,1737,5974,5298,0.21076,0.2932,0.33143999999999996,0.6246,0.23631559078897696,0.385146804835924,0.09959700633275763,0.09005691329092735,0.24271844660194175,2023
Seattle,194,679,1213,508,1472,110,1469,5564,4911,0.21858823529411764,0.3099411764705882,0.3774705882352941,0.6875294117647059,0.24699653838322133,0.4622191967324711,0.13206262763784887,0.09130122214234364,0.26455787203450754,2023
St. Louis,196,681,1311,549,1238,96,1568,5893,5226,0.206375,0.270625,0.3252916666666667,0.5957916666666666,0.2508610792192882,0.4343112244897959,0.125,0.09316137790599016,0.21007975564228745,2023
Tampa Bay,230,857,1443,513,1437,158,1675,6221,5567,0.2535,0.315,0.43760000000000004,0.75265,0.25920603556673255,0.5116417910447761,0.1373134328358209,0.08246262658736538,0.2309918019610995,2023
Texas,263,977,1616,665,1555,89,1820,6955,6170,0.2283,0.29995,0.3847,0.6848,0.2619124797406807,0.5368131868131868,0.1445054945054945,0.09561466570812366,0.22358015815959742,2023
Toronto,188,741,1424,545,1289,99,1672,6195,5541,0.23933333333333331,0.30627777777777776,0.3834444444444445,0.6897222222222221,0.256993322504963,0.4431818181818182,0.11244019138755981,0.08797417271993543,0.20807102502017757,2023
Washington,135,643,1306,387,1061,121,1520,5666,5154,0.24885714285714286,0.32052380952380954,0.36095238095238097,0.6815238095238095,0.25339542103220797,0.4230263157894737,0.08881578947368421,0.06830215319449347,0.18725732439110485,2023
