team,HR,R,H,BB,SO,SB,G,PA,AB,BA,OBP,SLG,OPS,AVG,runs_per_game,HR_per_game,BB_pct,K_pct,season
Arizona,148,625,1089,478,1176,101,1496,5356,4748,0.2061904761904762,0.28180952380952384,0.32885714285714285,0.6106190476190476,0.22935973041280538,0.4177807486631016,0.09893048128342247,0.08924570575056012,0.21956684092606424,2022
Atlanta,243,778,1375,457,1485,85,1539,5987,5427,0.26066666666666666,0.32066666666666666,0.4455,0.7662777777777777,0.2533628155518703,0.5055230669265757,0.15789473684210525,0.07633205278102556,0.24803741439786203,2022
Baltimore,159,630,1166,439,1268,95,1526,5536,4967,0.19215,0.26305,0.31029999999999996,0.57335,0.23474934568149788,0.41284403669724773,0.10419397116644823,0.07929913294797687,0.22904624277456648,2022
Boston,134,610,1152,395,1114,47,1273,4886,4393,0.23488235294117646,0.2985882352941176,0.37611764705882356,0.6745882352941176,0.2622353744593672,0.4791830322073841,0.10526315789473684,0.08084322554236595,0.22799836266884976,2022
Chicago,287,1247,2535,837,2509,145,3116,11282,10198,0.2306190476190476,0.2944761904761905,0.3460714285714286,0.6405952380952381,0.24857815257893703,0.4001925545571245,0.09210526315789473,0.07418897358624357,0.2223896472256692,2022
Cincinnati,106,442,930,323,1028,41,1233,4439,3996,0.19864,0.24764,0.29568,0.54316,0.23273273273273273,0.3584752635847526,0.08596918085969181,0.07276413606668168,0.23158369002027485,2022
Cleveland,119,654,1353,422,1022,119,1533,5819,5247,0.21936842105263157,0.2834736842105263,0.31315789473684214,0.5966315789473684,0.2578616352201258,0.42661448140900193,0.0776255707762557,0.07252105172710088,0.17563155181302628,2022
Colorado,149,698,1408,453,1330,45,1607,6105,5540,0.24455,0.3089,0.3766,0.6853499999999999,0.25415162454873647,0.4343497199751089,0.09271935283136279,0.0742014742014742,0.21785421785421785,2022
Detroit,108,533,1184,342,1323,44,1535,5550,5105,0.2084090909090909,0.2681363636363636,0.3068181818181818,0.5748636363636364,0.23192948090107737,0.3472312703583062,0.07035830618892508,0.061621621621621624,0.23837837837837839,2022
Houston,216,724,1322,518,1142,80,1533,5859,5225,0.2018421052631579,0.2628947368421053,0.3357894736842105,0.5987368421052631,0.25301435406698564,0.47227658186562294,0.14090019569471623,0.0884109916367981,0.19491380781703363,2022
Kansas City,119,507,1035,341,1093,85,1333,4748,4308,0.21504761904761904,0.267,0.32042857142857145,0.5871904761904762,0.2402506963788301,0.3803450862715679,0.08927231807951988,0.07181971356360572,0.23020219039595619,2022
