team,HR,R,H,BB,SO,SB,G,PA,AB,BA,OBP,SLG,OPS,AVG,runs_per_game,HR_per_game,BB_pct,K_pct,season
Arizona,206,856,1407,541,1225,116,1681,6073,5345,0.23085,0.29785,0.3787,0.67655,0.26323666978484567,0.5092207019631172,0.12254610350981558,0.08908282562160381,0.2017124979417092,2024
Atlanta,187,597,1143,410,1260,53,1379,5205,4703,0.21705555555555556,0.26766666666666666,0.3451666666666667,0.6128333333333333,0.24303635977035934,0.43292240754169686,0.135605511240029,0.0787704130643612,0.2420749279538905,2024
Baltimore,222,733,1278,462,1248,97,1517,5725,5158,0.18238888888888888,0.24027777777777778,0.3107777777777778,0.5507222222222222,0.24777045366421094,0.4831905075807515,0.14634146341463414,0.08069868995633188,0.21799126637554586,2024
Boston,184,706,1304,445,1430,142,1555,5643,5085,0.22784210526315787,0.30289473684210527,0.37373684210526315,0.6765263157894736,0.25644051130776796,0.45401929260450163,0.11832797427652733,0.07885876306928938,0.253411306042885,2024
Chicago,246,1047,2109,767,2254,200,2799,9912,8973,0.21063157894736842,0.2706578947368421,0.3150263157894737,0.5857105263157895,0.23503844867937146,0.3740621650589496,0.08788853161843516,0.07738095238095238,0.2274011299435028,2024
Cincinnati,168,669,1169,479,1387,203,1585,5662,5042,0.20191666666666666,0.2597916666666667,0.33441666666666664,0.5941666666666666,0.2318524395081317,0.4220820189274448,0.10599369085173502,0.08459908159660898,0.24496644295302014,2024
Cleveland,184,713,1292,475,1176,148,1718,5997,5373,0.22355555555555556,0.29494444444444445,0.3612777777777778,0.6561666666666667,0.24046156709473293,0.4150174621653085,0.10710128055878929,0.07920626980156745,0.19609804902451225,2024
Colorado,174,656,1237,436,1553,85,1536,5699,5150,0.2202,0.28495,0.37829999999999997,0.66315,0.24019417475728155,0.4270833333333333,0.11328125,0.07650464993858572,0.2725039480610633,2024
Detroit,145,613,1132,427,1370,75,1551,5367,4861,0.217,0.2814736842105263,0.35568421052631577,0.637421052631579,0.23287389426044025,0.3952288845905867,0.09348807221147647,0.0795602757592696,0.25526364822060743,2024
Houston,183,710,1408,430,1110,91,1599,5922,5365,0.2167894736842105,0.27842105263157896,0.3346315789473684,0.6132105263157894,0.2624417520969245,0.4440275171982489,0.11444652908067542,0.07261060452549814,0.18743667679837892,2024
Kansas City,164,722,1333,425,1122,136,1718,5921,5364,0.21722222222222223,0.27644444444444444,0.33355555555555555,0.61,0.24850857568978374,0.420256111757858,0.09545983701979045,0.07177841580814051,0.18949501773349098,2024
Los Angeles,404,1463,2598,1094,2667,263,3144,11943,10591,0.22485365853658534,0.29997560975609755,0.36182926829268297,0.6618048780487805,0.24530261542819376,0.46533078880407125,0.12849872773536897,0.09160177509838399,0.2233107259482542,2024
Miami,88,406,853,240,835,89,1100,3736,3415,0.2427058823529412,0.28858823529411765,0.3463529411764706,0.6350588235294117,0.24978038067349928,0.3690909090909091,0.08,0.06423982869379015,0.22350107066381156,2024
Milwaukee,182,786,1381,601,1471,221,1713,6249,5545,0.20595238095238097,0.27009523809523805,0.32766666666666666,0.5975714285714285,0.24905320108205592,0.45884413309982486,0.10624635143023935,0.09617538806208993,0.2353976636261802,2024
Minnesota,183,742,1352,473,1306,65,1760,6123,5490,0.23438095238095236,0.3068095238095238,0.3947142857142857,0.7015714285714286,0.24626593806921676,0.42159090909090907,0.10397727272727272,0.07724971419238935,0.21329413686101584,2024
New York,459,1636,2802,1266,2820,188,3422,12905,11356,0.22883333333333333,0.30738888888888893,0.3780833333333333,0.6855555555555556,0.24674181049665375,0.47808299240210406,0.1341320864991233,0.09810151104223169,0.21851995350639286,2024
Oakland,192,629,1232,480,1452,98,1632,5845,5259,0.22125,0.2912,0.3552,0.64645,0.23426506940482983,0.3854166666666667,0.11764705882352941,0.08212147134302823,0.2484174508126604,2024
Philadelphia,196,757,1373,501,1321,138,1549,5926,5310,0.23882352941176468,0.29923529411764704,0.3987647058823529,0.6978235294117647,0.2585687382297552,0.48870238863783083,0.1265332472562944,0.0845426932163348,0.22291596355045562,2024
Pittsburgh,156,627,1201,478,1413,96,1575,5703,5109,0.21095652173913046,0.28139130434782605,0.3354782608695652,0.6168695652173913,0.2350753572127618,0.3980952380952381,0.09904761904761905,0.08381553568297387,0.2477643345607575,2024
San Diego,196,723,1336,453,1093,111,1656,5761,5193,0.23759999999999998,0.2899,0.41784999999999994,0.7077,0.2572694011168881,0.4365942028985507,0.11835748792270531,0.07863218191286235,0.1897240062489151,2024
San Francisco,163,603,1143,412,1265,60,1464,5282,4783,0.21895833333333334,0.28008333333333335,0.35874999999999996,0.6387916666666666,0.2389713568889818,0.41188524590163933,0.11133879781420765,0.07800075728890572,0.23949261643316924,2024
Seattle,163,549,957,477,1381,103,1416,4993,4402,0.20024999999999998,0.27395,0.3202,0.5942000000000001,0.2174011812812358,0.3877118644067797,0.11511299435028248,0.0955337472461446,0.2765872221109553,2024
St. Louis,163,653,1325,459,1265,91,1599,5899,5318,0.22911111111111115,0.29744444444444446,0.36894444444444446,0.6663333333333333,0.24915381722452049,0.4083802376485303,0.10193871169480925,0.07780979827089338,0.21444312595355144,2024
Tampa Bay,107,454,892,361,1135,145,1269,4389,3945,0.20277777777777778,0.2668888888888889,0.32433333333333336,0.5910555555555556,0.22610899873257287,0.35776201733648544,0.08431836091410559,0.08225108225108226,0.2586010480747323,2024
Texas,168,654,1242,464,1230,94,1552,5776,5222,0.20314285714285715,0.27795238095238095,0.3304285714285714,0.6082857142857143,0.23783990808119496,0.4213917525773196,0.10824742268041238,0.08033240997229917,0.21295013850415512,2024
Toronto,127,514,1010,399,915,58,1268,4644,4147,0.2375294117647059,0.30776470588235294,0.3603529411764706,0.6680588235294117,0.2435495538943815,0.40536277602523657,0.10015772870662461,0.08591731266149871,0.19702842377260982,2024
Washington,98,492,1002,317,892,161,1234,4507,4078,0.26942105263157895,0.3322105263157895,0.42200000000000004,0.7544210526315789,0.245708680725846,0.3987034035656402,0.07941653160453808,0.07033503439094742,0.19791435544708233,2024
