team,team_code,team_id,league,division,wins,losses,win_pct,gb,wild_card_gb,last_10,streak,runs_scored,runs_allowed,run_diff
Yankees,,147,,,94,68,.580,-,-,,W1,815,668,147
Orioles,,110,,,91,71,.562,3.0,+5.0,,W3,786,699,87
Red Sox,,111,,,81,81,.500,13.0,5.0,,W1,751,747,4
Rays,,139,,,80,82,.494,14.0,6.0,,L1,604,663,-59
Blue Jays,,141,,,74,88,.457,20.0,12.0,,L3,671,743,-72
Guardians,,114,,,92,69,.571,-,-,,L2,708,621,87
Royals,,118,,,86,76,.531,6.5,-,,W1,735,644,91
Tigers,,116,,,86,76,.531,6.5,-,,L2,682,642,40
Twins,,142,,,82,80,.506,10.5,4.0,,L4,742,735,7
White Sox,,145,,,41,121,.253,51.5,45.0,,W2,507,813,-306
Astros,,117,,,88,73,.547,-,-,,W2,740,649,91
Mariners,,136,,,85,77,.525,3.5,1.0,,W4,676,607,69
Rangers,,140,,,78,84,.481,10.5,8.0,,W3,683,738,-55
Athletics,,133,,,69,93,.426,19.5,17.0,,L3,643,764,-121
Angels,,108,,,63,99,.389,25.5,23.0,,L6,635,797,-162
Phillies,,143,,,95,67,.586,-,-,,W1,784,671,113
Braves,,144,,,89,73,.549,6.0,-,,W1,704,607,97
Mets,,121,,,89,73,.549,6.0,-,,L1,768,697,71
Nationals,,120,,,71,91,.438,24.0,18.0,,L1,660,764,-104
Marlins,,146,,,62,100,.383,33.0,27.0,,W4,637,841,-204
Brewers,,158,,,93,69,.574,-,-,,L1,777,641,136
Cardinals,,138,,,83,79,.512,10.0,6.0,,W1,672,719,-47
Cubs,,112,,,83,79,.512,10.0,6.0,,L1,736,669,67
Reds,,113,,,77,85,.475,16.0,12.0,,W1,699,694,5
Pirates,,134,,,76,86,.469,17.0,13.0,,L1,665,739,-74
Dodgers,,119,,,98,64,.605,-,-,,W5,842,686,156
Padres,,135,,,93,69,.574,5.0,+4.0,,L1,760,669,91
D-backs,,109,,,89,73,.549,9.0,-,,W1,886,788,98
Giants,,137,,,80,82,.494,18.0,9.0,,L1,693,699,-6
Rockies,,115,,,61,101,.377,37.0,28.0,,L3,682,929,-247
