team,HR,R,H,BB,SO,SB,G,PA,AB,BA,OBP,SLG,OPS,AVG,runs_per_game,HR_per_game,BB_pct,K_pct,season
Arizona,160,643,1132,460,1101,107,1380,5150,4539,0.24600000000000002,0.3058571428571429,0.3710952380952381,0.6768095238095239,0.24939413967834326,0.46594202898550724,0.11594202898550725,0.08932038834951456,0.2137864077669903,2025
Athletics,210,699,1312,480,1326,78,1581,5768,5191,0.23654999999999998,0.2983,0.3845,0.68295,0.25274513581198227,0.44212523719165087,0.13282732447817835,0.08321775312066575,0.22988904299583912,2025
Atlanta,187,697,1301,556,1322,82,1585,5961,5306,0.22083333333333333,0.28688888888888886,0.36472222222222217,0.6518333333333334,0.24519411986430456,0.43974763406940065,0.11798107255520504,0.09327294078174803,0.22177486998825702,2025
Baltimore,139,507,959,361,1152,96,1270,4630,4184,0.16512000000000002,0.23928000000000002,0.285,0.52436,0.22920650095602293,0.39921259842519685,0.1094488188976378,0.07796976241900648,0.2488120950323974,2025
Boston,170,730,1330,457,1342,139,1592,5852,5277,0.2371,0.3081,0.3814,0.6894,0.2520371423157097,0.4585427135678392,0.10678391959798995,0.07809295967190703,0.22932330827067668,2025
Chicago,387,1383,2510,1003,2492,242,3117,11481,10264,0.21702380952380954,0.2773809523809524,0.3531190476190476,0.630452380952381,0.2445440374123149,0.4436958614051973,0.12415784408084697,0.08736172807246756,0.21705426356589147,2025
Cincinnati,151,657,1201,478,1317,98,1487,5537,4957,0.2063157894736842,0.2719473684210526,0.33210526315789474,0.6040526315789474,0.24228363929796248,0.4418291862811029,0.101546738399462,0.08632833664439227,0.2378544338089218,2025
Cleveland,160,604,1126,451,1282,122,1640,5587,5005,0.2106666666666667,0.28757142857142853,0.3324285714285714,0.6198571428571429,0.22497502497502497,0.36829268292682926,0.0975609756097561,0.08072310721317344,0.229461249328799,2025
Colorado,136,530,1145,327,1312,85,1449,5171,4748,0.20573076923076924,0.2633846153846154,0.31169230769230766,0.575,0.2411541701769166,0.3657694962042788,0.09385783298826778,0.06323728485786115,0.2537226842003481,2025
Detroit,204,787,1406,540,1542,63,1830,6421,5746,0.25063636363636366,0.32,0.366,0.6859090909090909,0.24469195962408632,0.43005464480874317,0.11147540983606558,0.08409904999221306,0.2401495094222084,2025
Houston,166,626,1249,419,1158,79,1535,5502,4963,0.21204347826086956,0.296,0.33413043478260873,0.6301304347826087,0.2516623010276043,0.40781758957654723,0.10814332247557003,0.07615412577244639,0.21046892039258452,2025
Kansas City,141,573,1184,381,979,106,1511,5312,4802,0.2241578947368421,0.2881578947368421,0.35247368421052633,0.640578947368421,0.24656393169512703,0.37921906022501656,0.09331568497683654,0.07172439759036145,0.1842996987951807,2025
Los Angeles,485,1521,2661,1098,3021,170,3371,12445,11079,0.20630232558139536,0.2653953488372093,0.3415348837209302,0.6068372093023257,0.24018413214189005,0.45120142390981904,0.1438742212993177,0.08822820409803134,0.24274809160305344,2025
Miami,139,630,1237,425,1087,122,1507,5422,4895,0.25495238095238093,0.31238095238095237,0.41104761904761905,0.7233809523809525,0.25270684371807967,0.418049104180491,0.09223623092236231,0.0783843600147547,0.20047952784950201,2025
Milwaukee,159,778,1372,550,1255,167,1654,6060,5371,0.22621052631578947,0.314,0.3465263157894737,0.6604736842105263,0.25544591323775834,0.4703748488512696,0.09613059250302297,0.09075907590759076,0.2070957095709571,2025
Minnesota,132,451,854,347,893,87,1135,4022,3596,0.21653333333333333,0.2856666666666667,0.3514666666666667,0.637,0.2374860956618465,0.3973568281938326,0.11629955947136564,0.08627548483341621,0.22202884137245152,2025
New York,490,1561,2663,1157,2662,254,3213,11972,10542,0.23490625,0.30984375000000003,0.39978125,0.7096875,0.2526086131663821,0.485838779956427,0.15250544662309368,0.0966421650517875,0.2223521550283996,2025
Philadelphia,210,763,1400,531,1317,127,1610,6111,5462,0.22652941176470587,0.2823529411764706,0.3598823529411765,0.6422941176470589,0.25631636763090443,0.47391304347826085,0.13043478260869565,0.08689248895434462,0.21551300932744233,2025
Pittsburgh,111,483,984,477,1219,82,1347,4894,4340,0.19382608695652176,0.2674782608695652,0.2914782608695652,0.5589999999999999,0.22672811059907835,0.3585746102449889,0.08240534521158129,0.09746628524724152,0.24908050674295054,2025
San Diego,139,632,1235,472,1026,98,1551,5528,4915,0.20421052631578948,0.28310526315789475,0.3018421052631579,0.5849473684210527,0.25127161749745675,0.4074790457769181,0.08961960025789813,0.085383502170767,0.18560057887120116,2025
San Francisco,142,593,1069,426,1125,60,1371,5051,4498,0.2012,0.2779,0.3203,0.5982999999999999,0.23766118274788794,0.4325309992706054,0.10357403355215171,0.08433973470599881,0.22272817263908137,2025
Seattle,205,680,1181,518,1248,128,1457,5463,4803,0.2262941176470588,0.3031176470588235,0.34811764705882353,0.6511176470588235,0.24588798667499479,0.4667124227865477,0.14070006863417983,0.0948196961376533,0.22844590884129598,2025
St. Louis,148,679,1327,475,1303,88,1624,6023,5391,0.22835,0.29375,0.3429,0.6364500000000001,0.24615099239473195,0.41810344827586204,0.09113300492610837,0.07886435331230283,0.21633737340195916,2025
Tampa Bay,161,604,1170,346,1092,146,1313,4899,4475,0.23394444444444445,0.2823888888888889,0.36233333333333334,0.644888888888889,0.26145251396648045,0.46001523229246,0.12261995430312261,0.07062665850173505,0.22290263319044704,2025
Texas,166,656,1219,472,1253,125,1607,5785,5202,0.2038695652173913,0.26417391304347826,0.31969565217391305,0.5836956521739131,0.23433294886582084,0.40821406347230865,0.10329807093963908,0.08159031979256698,0.21659464131374243,2025
Toronto,216,856,1557,552,1131,78,1773,6468,5761,0.24647058823529414,0.3170588235294117,0.39558823529411763,0.7126470588235294,0.27026557889255337,0.48279751833051326,0.1218274111675127,0.08534322820037106,0.174860853432282,2025
Washington,137,588,1124,363,1163,129,1387,5097,4637,0.22885,0.27405,0.3391,0.613,0.24239810222126376,0.4239365537130497,0.09877433309300648,0.07121836374337846,0.22817343535412987,2025
