name,Age,team,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,ERA,WHIP,BABIP,K_per_9,pitcher_id,season
Brandon Bielak,28,"Houston,Oakland",16,0,1.0,,,29.2,39,17,17,13,14,5,5.16,1.753,0.321,4.2,656232,2024
Hunter Bigge,26,"Chicago,Tampa Bay",19,1,,,1.0,17.1,17,5,5,5,24,2,2.6,1.269,0.357,12.5,685801,2024
Jake Bird,28,Colorado,35,0,2.0,2.0,1.0,40.0,43,21,20,25,31,5,4.5,1.7,0.319,7.0,656234,2024
Hayden Birdsong,22,San Francisco,16,16,5.0,6.0,,72.0,57,39,38,43,88,11,4.75,1.389,0.275,11.0,806185,2024
Spencer Bivens,30,San Francisco,27,2,3.0,1.0,1.0,48.2,47,20,17,11,37,9,3.14,1.192,0.266,6.8,702352,2024
Ty Blach,33,Colorado,20,12,3.0,8.0,,71.1,103,55,55,18,36,17,6.94,1.696,0.343,4.5,621389,2024
Mason Black,24,San Francisco,9,8,1.0,5.0,,36.1,46,26,26,15,31,7,6.44,1.679,0.348,7.7,696131,2024
Paul Blackburn,30,"New York,Oakland",14,14,5.0,4.0,,75.1,76,41,39,21,59,12,4.66,1.288,0.291,7.0,621112,2024
Bradley Blalock,23,"Colorado,Milwaukee",7,6,1.0,3.0,,30.2,35,22,20,20,20,4,5.87,1.793,0.304,5.9,687134,2024
Ronel Blanco,30,Houston,31,29,13.0,6.0,,169.1,115,56,52,71,170,22,2.76,1.098,0.222,9.0,669854,2024
Scott Blewett,28,Minnesota,12,0,1.0,1.0,,20.1,17,5,4,8,18,2,1.77,1.23,0.268,8.0,656240,2024
Jake Bloss,23,Houston,3,3,,1.0,,11.2,16,9,9,3,11,5,6.94,1.629,0.314,8.5,814005,2024
Cody Bolton,26,Seattle,17,0,,,,18.2,18,11,9,9,17,3,4.34,1.446,0.278,8.2,675989,2024
Cam Booser,32,Boston,43,0,2.0,3.0,1.0,42.2,41,17,16,16,43,5,3.38,1.336,0.303,9.1,592155,2024
Ryan Borucki,30,Pittsburgh,14,0,,,,11.0,14,10,9,4,13,2,7.36,1.636,0.4,10.6,621366,2024
David Bote,31,Chicago,1,0,,,,1.0,1,0,0,1,0,0,0.0,2.0,0.25,0.0,623520,2024
Caleb Boushley,30,Minnesota,2,0,,,,4.0,6,2,2,2,1,0,4.5,2.0,0.353,2.3,676961,2024
Jonathan Bowlan,27,Kansas City,1,1,,1.0,,2.2,6,4,4,3,3,3,13.5,3.375,0.375,10.1,680742,2024
Matt Bowman,33,"Arizona,Baltimore,Minnesota,Seattle",25,1,1.0,,,30.2,26,15,15,13,24,5,4.4,1.272,0.239,7.0,621199,2024
Matthew Boyd,33,Cleveland,11,11,2.0,2.0,,51.1,39,17,13,19,60,4,2.28,1.13,0.276,10.5,571510,2024
Joe Boyle,24,Oakland,13,10,3.0,6.0,,47.2,42,35,34,40,56,4,6.42,1.72,0.314,10.6,671212,2024
Cody Bradford,26,Texas,14,13,6.0,3.0,,76.1,64,32,30,13,70,10,3.54,1.009,0.252,8.3,674003,2024
Kyle Bradish,27,Baltimore,8,8,2.0,,,39.1,27,12,12,15,53,2,2.75,1.068,0.281,12.1,680694,2024
Taj Bradley,23,Tampa Bay,25,25,8.0,11.0,,138.0,122,68,63,47,154,22,4.11,1.225,0.287,10.0,671737,2024
Ryan Brasier,36,Los Angeles,37,6,2.0,1.0,,37.0,30,17,16,8,32,7,3.89,1.027,0.235,7.8,518489,2024
Huascar Brazob\xc3\xa1n,34,"Miami,New York",39,0,1.0,3.0,,51.2,38,26,22,25,51,2,3.83,1.219,0.265,8.9,623211,2024
John Brebbia,34,"Atlanta,Chicago",59,0,,6.0,2.0,55.1,56,36,36,19,67,11,5.86,1.355,0.317,10.9,605154,2024
Colten Brewer,31,Chicago,16,0,,,1.0,20.2,24,16,13,9,22,1,5.66,1.597,0.371,9.6,605155,2024
Beau Brieske,26,Detroit,52,12,4.0,6.0,3.0,73.2,56,32,28,32,75,6,3.42,1.195,0.269,9.2,689225,2024
Jhony Brito,26,San Diego,26,0,1.0,2.0,,43.2,49,23,20,10,29,4,4.12,1.351,0.319,6.0,666745,2024
Connor Brogdon,29,"Los Angeles,Philadelphia",4,0,,1.0,,3.0,5,9,8,6,3,4,24.0,3.667,0.167,9.0,641401,2024
Aaron Brooks,34,Oakland,5,4,,2.0,,26.2,33,19,15,8,12,4,5.06,1.538,0.309,4.1,605156,2024
Ben Brown,24,Chicago,15,8,1.0,3.0,,55.1,41,22,22,19,64,5,3.58,1.084,0.273,10.4,676962,2024
Hunter Brown,25,Houston,32,31,11.0,9.0,,175.2,158,72,67,62,188,19,3.43,1.252,0.302,9.6,686613,2024
Justin Bruihl,27,Pittsburgh,7,0,,,,5.2,9,6,6,1,5,1,9.53,1.765,0.421,7.9,677865,2024
Vidal Bruj\xc3\xa1n,26,Miami,2,0,,,,1.2,7,8,8,3,1,2,43.2,6.0,0.556,5.4,660644,2024
Zach Brzykcy,24,Washington,6,0,,,,5.2,9,9,9,3,4,2,14.29,2.118,0.368,6.4,694350,2024
Kris Bubic,26,Kansas City,31,0,1.0,2.0,1.0,35.0,31,13,10,8,42,3,2.57,1.114,0.322,10.8,663460,2024
David Buchanan,35,Cincinnati,1,0,,,,3.1,2,1,1,2,1,0,2.7,1.2,0.182,2.7,571527,2024
Walker Buehler,29,Los Angeles,20,19,2.0,7.0,1.0,90.1,101,58,51,33,77,17,5.08,1.483,0.308,7.7,621111,2024
JB Bukauskas,27,Milwaukee,6,0,,,,6.0,3,1,1,1,6,1,1.5,0.667,0.143,9.0,656266,2024
Aaron Bummer,30,Atlanta,57,0,4.0,3.0,,58.0,61,24,22,19,70,2,3.41,1.379,0.376,10.9,607481,2024
Nick Burdi,31,New York,12,0,1.0,,,9.2,5,2,2,9,12,1,1.86,1.448,0.19,11.2,595897,2024
Raymond Burgos,25,San Francisco,1,0,,,,1.0,3,1,1,1,1,0,9.0,4.0,0.6,9.0,670103,2024
Brock Burke,27,"Los Angeles,Texas",34,1,2.0,1.0,,34.0,37,22,22,16,41,4,5.82,1.559,0.363,10.9,656271,2024
Sean Burke,24,Chicago,4,3,2.0,,,19.0,12,4,3,7,22,2,1.42,1.0,0.222,10.4,680732,2024
Corbin Burnes,29,Baltimore,33,33,15.0,10.0,,202.1,170,77,64,49,184,22,2.85,1.082,0.267,8.2,669203,2024
Ryan Burr,30,Toronto,33,4,,2.0,,31.1,29,16,15,11,44,4,4.31,1.277,0.333,12.6,621114,2024
Mike Burrows,24,Pittsburgh,1,0,1.0,,,3.1,2,2,1,3,2,1,2.7,1.5,0.125,5.4,681347,2024
Alan Busenitz,33,Cincinnati,3,0,,,,4.0,9,7,6,0,3,1,13.5,2.25,0.471,6.8,641427,2024
Ky Bush,24,Chicago,4,4,,3.0,,17.2,20,11,11,16,11,2,5.6,2.038,0.316,5.6,681066,2024
Jos\xc3\xa9 Butt\xc3\xb3,26,New York,36,7,7.0,3.0,3.0,81.0,47,27,26,41,87,8,2.89,1.086,0.213,9.7,676130,2024
Edward Cabrera,26,Miami,20,20,4.0,8.0,,96.1,82,60,53,50,107,15,4.95,1.37,0.278,10.0,665795,2024
G\xc3\xa9nesis Cabrera,27,Toronto,68,0,3.0,3.0,2.0,61.2,63,31,25,29,49,10,3.65,1.492,0.299,7.2,650893,2024
Oswaldo Cabrera,25,New York,1,0,,,,0.1,0,0,0,2,0,0,0.0,6.0,0.0,0.0,665828,2024
Isaiah Campbell,26,Boston,8,0,,1.0,,6.2,14,13,12,2,6,3,16.2,2.4,0.423,8.1,663462,2024
Griffin Canning,28,Los Angeles,32,31,6.0,13.0,,171.2,174,105,99,66,130,31,5.19,1.398,0.284,6.8,656288,2024
Jonathan Cannon,23,Chicago,23,21,5.0,10.0,1.0,124.1,125,65,62,40,91,18,4.49,1.327,0.291,6.6,686563,2024
Yennier Cano,30,Baltimore,71,0,4.0,3.0,5.0,61.1,56,24,21,25,66,6,3.08,1.321,0.318,9.7,666974,2024
Joey Cantillo,24,Cleveland,12,8,2.0,4.0,,41.0,35,23,22,19,47,6,4.83,1.317,0.287,10.3,676282,2024
Matt Carasiti,32,Colorado,7,0,,1.0,,8.2,16,10,10,3,7,2,10.38,2.192,0.467,7.3,571539,2024
Carlos Carrasco,37,Cleveland,21,21,3.0,10.0,,103.2,112,68,65,33,89,19,5.64,1.399,0.31,7.7,471911,2024
Ben Casparius,25,Los Angeles,7,1,3.0,,,14.2,12,4,3,9,17,0,1.84,1.432,0.316,10.4,676508,2024
Humberto Castellanos,26,Arizona,7,0,,,1.0,10.1,11,6,6,4,7,0,5.23,1.452,0.314,6.1,528748,2024
Diego Castillo,30,Minnesota,7,0,,,,10.0,8,3,3,8,6,0,2.7,1.6,0.276,5.4,650895,2024
Luis Castillo,31,Seattle,30,30,11.0,12.0,,175.1,158,73,71,47,175,25,3.64,1.169,0.286,9.0,622491,2024
Miguel Castro,29,Arizona,11,0,,,,13.2,20,9,9,3,8,3,5.93,1.683,0.354,5.3,612434,2024
Willi Castro,27,Minnesota,2,0,,,,1.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,650489,2024
Dylan Cease,28,San Diego,35,35,14.0,12.0,,194.1,147,88,81,68,230,20,3.75,1.106,0.273,10.7,656302,2024
Slade Cecconi,25,Arizona,20,13,2.0,7.0,,77.0,92,57,57,17,64,16,6.66,1.416,0.322,7.5,677944,2024
Andrew Chafin,34,"Detroit,Texas",62,0,4.0,3.0,1.0,56.1,52,26,22,31,70,5,3.51,1.473,0.338,11.2,605177,2024
Aroldis Chapman,36,Pittsburgh,68,0,5.0,5.0,14.0,61.2,44,31,26,39,98,5,3.79,1.346,0.322,14.3,547973,2024
JT Chargois,33,"Miami,Seattle",36,0,3.0,1.0,,36.1,24,9,9,13,30,6,2.23,1.018,0.189,7.4,608638,2024
Jesse Chavez,40,Atlanta,47,0,2.0,2.0,,65.1,60,27,22,19,56,10,3.03,1.209,0.273,7.7,445926,2024
Yonny Chirinos,30,Miami,6,6,,2.0,,30.0,43,21,21,13,25,7,6.3,1.867,0.375,7.5,630023,2024
Angel Chivilli,21,Colorado,30,0,2.0,3.0,1.0,31.2,31,17,16,10,28,7,4.55,1.295,0.276,8.0,683409,2024
Marc Church,23,Texas,1,0,,,,1.0,1,0,0,0,1,0,0.0,1.0,0.333,9.0,687847,2024
Adam Cimber,33,Los Angeles,28,0,3.0,,,24.1,20,19,19,14,19,1,7.03,1.397,0.288,7.0,643256,2024
Jos\xc3\xa9 Cisnero,35,Los Angeles,15,0,,,,15.2,18,15,12,8,17,4,6.89,1.66,0.333,9.8,542585,2024
Aaron Civale,29,"Milwaukee,Tampa Bay",32,31,8.0,9.0,,164.0,158,82,78,53,151,29,4.28,1.287,0.282,8.3,650644,2024
Emmanuel Clase,26,Cleveland,81,0,4.0,4.0,49.0,82.1,51,18,13,11,74,5,1.42,0.753,0.215,8.1,661403,2024
Garrett Cleavinger,30,Tampa Bay,68,0,7.0,5.0,6.0,60.0,52,29,25,31,71,6,3.75,1.383,0.305,10.7,664076,2024
Kody Clemens,28,Philadelphia,1,0,,,,1.0,2,1,1,1,0,1,9.0,3.0,0.25,0.0,665019,2024
Ernie Clement,28,Toronto,1,0,,,,1.0,2,1,1,0,0,0,9.0,2.0,0.4,0.0,676391,2024
Mike Clevinger,33,Chicago,4,4,,3.0,,16.0,22,13,12,9,15,4,6.75,1.938,0.36,8.4,605182,2024
Alex Cobb,36,Cleveland,5,5,2.0,3.0,,22.0,22,12,10,7,15,2,4.09,1.318,0.299,6.1,502171,2024
Gerrit Cole,33,New York,22,22,9.0,5.0,,124.0,105,51,43,39,121,12,3.12,1.161,0.277,8.8,543037,2024
Dylan Coleman,27,Houston,1,0,,,,1.0,0,0,0,1,1,0,0.0,1.0,0.0,9.0,669395,2024
Luis Contreras,28,Houston,5,0,,,,6.0,7,6,6,2,6,0,9.0,1.5,0.389,9.0,664351,2024
Roansy Contreras,24,"Los Angeles,Pittsburgh",49,3,2.0,4.0,2.0,68.1,63,36,33,31,56,11,4.35,1.376,0.267,7.4,672710,2024
Patrick Corbin,34,Washington,32,32,6.0,13.0,,174.2,208,114,109,54,139,25,5.62,1.5,0.338,7.2,571578,2024
Nestor Cortes,29,New York,33,30,9.0,10.0,,176.1,163,76,75,40,163,25,3.83,1.151,0.285,8.3,641482,2024
Tom Cosgrove,28,San Diego,18,0,,1.0,,14.2,23,19,19,6,15,3,11.66,1.977,0.426,9.2,676680,2024
Danny Coulombe,34,Baltimore,34,0,1.0,,1.0,30.1,16,7,7,5,33,3,2.08,0.692,0.188,9.8,543056,2024
Jake Cousins,29,New York,43,0,2.0,2.0,1.0,43.0,26,19,15,24,60,5,3.14,1.163,0.244,12.6,664776,2024
Brandon Crawford,37,St. Louis,1,0,,,,1.1,3,4,4,2,0,0,27.0,3.75,0.429,0.0,543063,2024
Kutter Crawford,28,Boston,33,33,9.0,16.0,,183.2,155,97,89,51,175,34,4.36,1.122,0.247,8.6,676710,2024
Nabil Crismatt,29,Los Angeles,5,0,1.0,1.0,,7.0,7,3,2,0,6,1,2.57,1.0,0.316,7.7,622503,2024
Cooper Criswell,27,Boston,26,18,6.0,5.0,,99.1,103,52,45,31,73,10,4.08,1.349,0.308,6.6,681867,2024
Jeff Criswell,25,Colorado,13,0,1.0,,,19.2,20,6,6,9,27,4,2.75,1.475,0.348,12.4,676105,2024
Garrett Crochet,25,Chicago,31,31,6.0,12.0,,146.0,123,61,58,33,209,18,3.58,1.068,0.318,12.9,676979,2024
Declan Cronin,26,Miami,56,0,3.0,4.0,,70.1,75,41,34,25,72,1,4.35,1.422,0.366,9.2,686539,2024
Hans Crouse,25,Los Angeles,25,0,4.0,3.0,,25.1,14,10,8,17,34,2,2.84,1.224,0.235,12.1,668968,2024
Fernando Cruz,34,Cincinnati,69,3,3.0,8.0,,66.2,54,36,36,35,109,9,4.86,1.335,0.338,14.7,518585,2024
Steven Cruz,25,Kansas City,5,0,,,,5.2,1,0,0,0,4,0,0.0,0.176,0.071,6.4,674444,2024
Jose Cuas,30,"Chicago,Toronto",13,0,,,,16.1,19,15,14,10,17,4,7.71,1.776,0.319,9.4,621016,2024
Johnny Cueto,38,Los Angeles,2,2,,2.0,,11.1,14,9,9,3,6,4,7.15,1.5,0.27,4.8,456501,2024
Xzavion Curry,25,"Cleveland,Miami",16,5,2.0,2.0,,42.2,38,23,22,7,28,8,4.64,1.055,0.233,5.9,675540,2024
John Curtiss,31,Colorado,3,0,,,,2.1,6,4,4,0,1,2,15.43,2.571,0.444,3.9,595928,2024
Caden Dana,20,Los Angeles,3,3,1.0,2.0,,10.1,14,12,11,7,8,5,9.58,2.032,0.29,7.0,702674,2024
Davis Daniel,27,Los Angeles,6,6,1.0,4.0,,30.0,39,22,21,6,28,5,6.3,1.5,0.362,8.4,669721,2024
Yu Darvish,37,San Diego,18,18,8.0,4.0,,95.1,71,35,33,25,85,14,3.12,1.007,0.228,8.0,506433,2024
Tucker Davidson,28,Baltimore,1,0,1.0,,,4.2,4,0,0,2,1,0,0.0,1.286,0.25,1.9,656353,2024
Austin Davis,31,San Diego,7,0,,,,7.0,6,8,7,5,6,0,9.0,1.571,0.316,7.7,656354,2024
Noah Davis,27,Colorado,9,0,,,,20.1,31,15,13,7,15,3,5.75,1.869,0.4,6.6,663562,2024
Brett de Geus,26,"Miami,Seattle,Toronto",13,0,,2.0,,11.1,14,10,9,4,7,0,7.15,1.588,0.378,5.6,676969,2024
Enyel De Los Santos,28,"Chicago,New York,San Diego",64,0,1.0,2.0,2.0,64.0,65,38,37,25,66,17,5.2,1.406,0.291,9.3,660853,2024
Jacob deGrom,36,Texas,3,3,,,,10.2,11,2,2,1,14,1,1.69,1.125,0.37,11.8,594798,2024
Reid Detmers,24,Los Angeles,17,17,4.0,9.0,,87.1,98,67,65,38,109,18,6.7,1.557,0.357,11.2,672282,2024
Chris Devenski,33,Tampa Bay,19,0,2.0,1.0,,26.2,28,25,20,14,24,9,6.75,1.575,0.253,8.1,606965,2024
Alexis D\xc3\xadaz,27,Cincinnati,60,0,2.0,5.0,28.0,56.1,42,31,25,31,55,6,3.99,1.296,0.25,8.8,664747,2024
Edwin D\xc3\xadaz,30,New York,60,0,7.0,4.0,22.0,62.1,40,26,24,27,97,7,3.47,1.075,0.277,14.0,621242,2024
Jhonathan D\xc3\xadaz,27,Seattle,5,1,,1.0,,9.2,14,6,5,3,8,2,4.66,1.759,0.353,7.4,646242,2024
Miguel D\xc3\xadaz,29,Houston,1,0,,,,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,622766,2024
Yilber D\xc3\xadaz,23,Arizona,7,4,1.0,1.0,,28.1,27,13,12,12,19,3,3.81,1.376,0.282,6.0,700270,2024
Jake Diekman,37,New York,43,0,2.0,3.0,4.0,32.0,23,24,20,24,40,7,5.63,1.469,0.232,11.3,518617,2024
Randy Dobnak,29,Minnesota,5,0,,,,9.2,11,6,6,5,7,1,5.59,1.655,0.313,6.5,677976,2024
Dylan Dodd,26,Atlanta,1,0,,,,2.0,4,2,2,1,2,0,9.0,2.5,0.667,9.0,689266,2024
Seranthony Dom\xc3\xadnguez,29,"Baltimore,Philadelphia",65,0,3.0,4.0,11.0,60.1,52,32,29,21,70,12,4.33,1.21,0.258,10.4,622554,2024
Camilo Doval,26,San Francisco,62,0,5.0,3.0,23.0,59.0,54,35,32,39,78,5,4.88,1.576,0.338,11.9,666808,2024
Daniel Duarte,27,Minnesota,2,0,1.0,,,4.0,2,1,1,1,3,1,2.25,0.75,0.1,6.8,650960,2024
Shawn Dubin,28,Houston,31,2,1.0,1.0,2.0,45.1,45,25,21,26,49,3,4.17,1.566,0.331,9.7,681869,2024
Tyler Duffey,33,Kansas City,9,0,1.0,,,9.0,7,5,5,8,10,0,5.0,1.667,0.304,10.0,608648,2024
Dane Dunning,29,Texas,26,15,5.0,7.0,,95.0,97,60,56,40,91,18,5.31,1.442,0.297,8.6,641540,2024
Parker Dunshee,29,Atlanta,1,0,,,,2.1,4,5,5,2,3,2,19.29,2.571,0.333,11.6,670161,2024
Jhoan Duran,26,Minnesota,58,0,6.0,9.0,23.0,54.1,48,30,22,15,66,4,3.64,1.16,0.326,10.9,661395,2024
Jake Eder,25,Chicago,1,0,,,,2.0,2,1,1,1,1,0,4.5,1.5,0.333,4.5,671109,2024
Carl Edwards Jr.,32,San Diego,1,0,,,,0.0,1,0,0,2,0,0,,,1.0,,605218,2024
Scott Effross,30,New York,3,0,,,,3.1,3,2,2,2,2,1,5.4,1.5,0.222,5.4,664123,2024
Zach Eflin,30,"Baltimore,Tampa Bay",29,29,10.0,9.0,,169.1,170,72,67,25,137,22,3.56,1.152,0.288,7.3,621107,2024
