name,Age,team,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,ERA,WHIP,BABIP,K_per_9,pitcher_id,season
Andrew Abbott,25,Cincinnati,25,25,10.0,10.0,,138.0,127,60,57,52,114,25,3.72,1.297,0.26,7.4,671096,2024
Bryan Abreu,27,Houston,79,0,3.0,3.0,1.0,79.2,59,27,27,33,105,9,3.05,1.155,0.284,11.9,650556,2024
Jason Adam,32,"San Diego,Tampa Bay",79,0,7.0,2.0,4.0,79.0,44,22,18,23,87,6,2.05,0.848,0.211,9.9,592094,2024
Austin Adams,33,Oakland,56,0,1.0,2.0,,41.1,38,20,18,23,53,4,3.92,1.476,0.351,11.5,613534,2024
Ty Adcock,27,New York,3,0,,,,4.1,7,7,7,2,3,4,14.54,2.077,0.25,6.2,686654,2024
Joan Adon,25,Washington,8,1,,,,10.2,12,8,8,4,6,2,6.75,1.5,0.294,5.1,672851,2024
Julian Aguiar,23,Cincinnati,7,7,2.0,1.0,,31.2,30,22,22,12,19,8,6.25,1.326,0.229,5.4,687924,2024
Keegan Akin,29,Baltimore,67,0,3.0,1.0,1.0,79.1,55,31,29,20,97,9,3.29,0.945,0.247,11.0,669211,2024
Jorge Alcala,28,Minnesota,54,0,4.0,3.0,,58.1,40,23,21,20,58,8,3.24,1.029,0.221,8.9,660896,2024
Sam Aldegheri,22,Los Angeles,3,3,1.0,2.0,,13.0,15,12,7,10,10,2,4.85,1.923,0.302,6.9,691951,2024
Scott Alexander,34,Oakland,45,0,1.0,3.0,,38.2,31,14,11,15,31,3,2.56,1.19,0.262,7.2,518397,2024
Tyler Alexander,29,Tampa Bay,23,9,6.0,5.0,,107.2,110,61,61,24,90,23,5.1,1.245,0.28,7.5,641302,2024
Kolby Allard,26,Philadelphia,7,4,2.0,,,27.0,34,15,15,8,23,5,5.0,1.556,0.358,7.7,663465,2024
Logan Allen,27,Arizona,12,0,,1.0,1.0,28.0,32,17,17,10,21,3,5.46,1.5,0.315,6.8,663531,2024
Logan Allen,25,Cleveland,20,20,8.0,5.0,,97.1,113,62,61,41,79,22,5.64,1.582,0.319,7.3,671106,2024
Yency Almonte,30,Chicago,17,0,1.0,,1.0,15.2,9,7,6,8,20,1,3.45,1.085,0.222,11.5,622075,2024
Dan Altavilla,31,Kansas City,5,1,,1.0,,3.2,5,6,6,3,5,1,14.73,2.182,0.4,12.3,656186,2024
Jos\xc3\xa9 Alvarado,29,Philadelphia,67,0,2.0,5.0,13.0,62.1,50,32,30,30,64,6,4.33,1.283,0.272,9.2,621237,2024
Eddy Alvarez,34,New York,1,0,,,,1.0,1,0,0,0,1,0,0.0,1.0,0.333,9.0,657193,2024
Adbert Alzolay,29,Chicago,18,0,1.0,4.0,4.0,17.1,19,13,9,6,13,6,4.67,1.442,0.265,6.8,640470,2024
Chase Anderson,36,"Boston,Texas",29,1,,2.0,3.0,58.1,55,41,35,21,42,12,5.4,1.303,0.246,6.5,502624,2024
Grant Anderson,27,Texas,23,0,,1.0,1.0,26.2,33,24,24,10,29,11,8.1,1.613,0.319,9.8,681982,2024
Justin Anderson,31,Chicago,56,0,1.0,2.0,1.0,53.1,48,29,26,32,57,5,4.39,1.5,0.299,9.6,605121,2024
Nick Anderson,33,Kansas City,37,0,3.0,1.0,1.0,35.2,35,17,16,15,29,6,4.04,1.402,0.284,7.3,623433,2024
Shaun Anderson,29,"Miami,Texas",6,2,,2.0,,16.1,34,19,15,1,10,3,8.27,2.143,0.443,5.5,641312,2024
Tyler Anderson,34,Los Angeles,31,31,10.0,15.0,,179.1,158,83,76,73,142,24,3.81,1.288,0.258,7.1,542881,2024
Clayton Andrews,27,New York,1,0,,,,0.1,1,1,1,0,1,1,27.0,3.0,,27.0,677076,2024
Matt Andriese,34,Miami,4,0,,1.0,,6.0,7,5,4,1,7,2,6.0,1.333,0.313,10.5,542882,2024
Tejay Antone,30,Cincinnati,3,0,,,,2.0,2,2,1,4,2,0,4.5,3.0,0.4,9.0,622088,2024
Shawn Armstrong,33,"Chicago,St. Louis,Tampa Bay",57,7,3.0,3.0,1.0,66.2,77,38,36,25,66,6,4.86,1.53,0.364,8.9,542888,2024
Spencer Arrighetti,24,Houston,29,28,7.0,13.0,,145.0,139,80,73,65,171,21,4.53,1.407,0.321,10.6,681293,2024
Aaron Ashby,26,Milwaukee,15,2,1.0,2.0,,28.1,23,15,11,12,33,2,3.49,1.235,0.276,10.5,676879,2024
Graham Ashcraft,26,Cincinnati,15,15,5.0,5.0,,77.1,89,50,45,27,57,11,5.24,1.5,0.313,6.6,668933,2024
Javier Assad,26,Chicago,29,29,7.0,6.0,,147.0,143,64,61,63,124,20,3.73,1.401,0.291,7.6,665871,2024
Nick Avila,26,San Francisco,8,0,1.0,,,11.2,17,12,11,3,14,2,8.49,1.714,0.417,10.8,687014,2024
Pedro Avila,27,"Cleveland,San Diego",57,0,7.0,1.0,1.0,86.2,73,38,35,38,85,8,3.63,1.281,0.283,8.8,658648,2024
Lake Bachar,29,Miami,10,0,,1.0,,9.1,10,5,4,4,11,2,3.86,1.5,0.348,10.6,669199,2024
Bryan Baker,29,Baltimore,19,0,1.0,1.0,,23.1,20,14,13,7,23,3,5.01,1.157,0.283,8.9,641329,2024
Anthony Banda,30,Los Angeles,58,2,3.0,2.0,2.0,57.2,50,20,18,24,61,5,2.81,1.283,0.298,9.5,607455,2024
Tanner Banks,32,"Chicago,Philadelphia",64,2,2.0,3.0,2.0,73.1,71,42,33,25,80,6,4.05,1.309,0.323,9.8,621383,2024
Scott Barlow,31,Cleveland,63,0,3.0,3.0,2.0,55.0,44,27,26,31,68,6,4.25,1.364,0.288,11.1,605130,2024
Jacob Barnes,34,Washington,63,0,8.0,3.0,,66.0,67,36,32,20,55,10,4.36,1.318,0.297,7.5,606930,2024
Matt Barnes,34,Washington,14,0,,,,13.1,16,11,10,4,10,1,6.75,1.5,0.341,6.8,598264,2024
Tucker Barnhart,33,Arizona,1,0,,,,1.0,4,2,2,0,0,1,18.0,4.0,0.5,0.0,571466,2024
Chris Bassitt,35,Toronto,31,31,10.0,14.0,,171.0,180,91,79,70,168,18,4.16,1.462,0.335,8.8,605135,2024
Brady Basso,26,Oakland,7,4,1.0,1.0,,22.1,23,10,10,5,19,3,4.03,1.254,0.303,7.7,669620,2024
Jake Bauers,28,Milwaukee,4,0,,,,4.0,5,2,2,4,1,0,4.5,2.25,0.333,2.3,641343,2024
Mike Baumann,28,"Baltimore,Los Angeles,Miami,San Francisco,Seattle",57,0,3.0,1.0,,58.1,59,40,36,28,58,9,5.55,1.491,0.303,8.9,657508,2024
Shane Baz,25,Tampa Bay,14,14,4.0,3.0,,79.1,57,28,27,27,69,9,3.06,1.059,0.229,7.8,669358,2024
Eduard Bazardo,28,Seattle,23,0,2.0,,,27.2,20,15,15,9,33,2,4.88,1.048,0.286,10.7,660825,2024
Tristan Beck,28,San Francisco,7,1,,,,16.0,14,3,3,4,14,2,1.69,1.125,0.261,7.9,663941,2024
David Bednar,29,Pittsburgh,62,0,3.0,8.0,23.0,57.2,54,40,37,28,58,9,5.77,1.422,0.278,9.1,670280,2024
Tyler Beede,31,Cleveland,13,0,1.0,,,14.0,16,14,13,9,18,2,8.36,1.786,0.4,11.6,595881,2024
Jalen Beeks,30,"Colorado,Pittsburgh",71,0,7.0,4.0,10.0,70.0,77,42,35,27,55,6,4.5,1.486,0.326,7.1,656222,2024
Clayton Beeter,25,New York,3,0,,,,3.2,4,2,2,1,5,0,4.91,1.364,0.444,12.3,690925,2024
Brayan Bello,25,Boston,30,30,14.0,8.0,,162.1,157,84,81,64,153,19,4.49,1.361,0.303,8.5,678394,2024
Valente Bellozo,24,Miami,13,13,3.0,4.0,,68.2,69,31,28,21,44,15,3.67,1.311,0.254,5.8,678368,2024
Anthony Bender,29,Miami,59,0,5.0,2.0,1.0,53.0,50,25,24,18,59,3,4.08,1.283,0.329,10.0,669622,2024
Jonathan Berm\xc3\xbadez,28,Miami,3,1,,1.0,,6.2,11,6,6,2,4,2,8.1,1.95,0.391,5.4,642834,2024
Brennan Bernardino,32,Boston,57,3,4.0,3.0,,51.0,50,25,23,22,56,6,4.06,1.412,0.326,9.9,657514,2024
Jos\xc3\xa9 Berr\xc3\xados,30,Toronto,32,32,16.0,11.0,,192.1,168,79,77,54,153,31,3.6,1.154,0.258,7.2,621244,2024
Prelander Berroa,24,Chicago,17,0,1.0,,,19.0,15,7,7,13,26,2,3.32,1.474,0.317,12.3,672860,2024
Tanner Bibee,25,Cleveland,35,35,12.0,9.0,,189.1,169,77,73,48,203,24,3.47,1.146,0.295,9.6,676440,2024
Phil Bickford,28,New York,8,0,,,,8.1,10,9,8,1,6,1,8.64,1.32,0.31,6.5,641360,2024
Osvaldo Bido,28,Oakland,16,9,5.0,3.0,,63.1,43,25,24,26,63,3,3.41,1.089,0.252,9.0,674370,2024
Shane Bieber,29,Cleveland,2,2,2.0,,,12.0,10,0,0,1,20,0,0.0,0.917,0.417,15.0,669456,2024
